WR,HR,DeltaHR,VE,BF,VO2rel,HRR,VO2
110,180,0,80417,38.559,30.774,89.14728682,2.384985
110,180,0,80805,38.602,30.157,89.14728682,2.3371675
110,180,0,81119,38.733,29.582,89.14728682,2.292605
110,180,0,81213,38.775,29.181,89.14728682,2.2615275
110,179,-1,80406,38.304,29.52,88.37209302,2.2878
110,179,0,78927,37.465,29.374,88.37209302,2.276485
110,179,0,77101,36.436,28.978,88.37209302,2.245795
110,179,0,76158,36.102,29.961,88.37209302,2.3219775
110,179,0,75438,35.953,29.568,88.37209302,2.29152
110,179,0,75082,36.108,26.929,88.37209302,2.0869975
110,179,0,73909,35.755,25.228,88.37209302,1.95517
110,179,0,72094,35.003,24.264,88.37209302,1.88046
110,178,-1,70502,34.324,25.961,87.59689922,2.0119775
110,178,0,69099,33.708,29.923,87.59689922,2.3190325
110,178,0,66123,32.867,30.217,87.59689922,2.3418175
110,177,-1,64492,32.399,29.207,86.82170543,2.2635425
110,177,0,64476,32.374,26.755,86.82170543,2.0735125
110,177,0,64128,32.173,25.392,86.82170543,1.96788
110,176,-1,63235,31.684,25.809,86.04651163,2.0001975
110,176,0,62835,31.299,25.745,86.04651163,1.9952375
110,176,0,63393,31.115,24.75,86.04651163,1.918125
110,175,-1,63956,30.953,24.773,85.27131783,1.9199075
110,175,0,64538,30.875,28.869,85.27131783,2.2373475
110,175,0,65091,30.869,30.151,85.27131783,2.3367025
110,175,0,65592,30.995,26.43,85.27131783,2.048325
