WR,HR,DeltaHR,VE,BF,VO2rel,HRR,VO2
25,126,0,48620,27,30.169,57.14285714,2.624703
25,126,0,48620,28,25.429,57.14285714,2.212323
25,125,-1,52168,28,25.555,56.19047619,2.223285
25,125,0,52168,28,25.681,56.19047619,2.234247
25,124,-1,50833,28,24.019,55.23809524,2.089653
25,123,-1,50833,28,21.851,54.28571429,1.901037
25,123,0,51399,28,22.319,54.28571429,1.941753
25,122,-1,51399,28,24.143,53.33333333,2.100441
25,122,0,51494,28,23.816,53.33333333,2.071992
25,121,-1,51494,28,22.278,52.38095238,1.938186
25,121,0,51494,28,21.481,52.38095238,1.868847
25,120,-1,55953,28,21.139,51.42857143,1.839093
25,119,-1,55953,28,20.796,50.47619048,1.809252
25,119,0,55858,28,19.74,50.47619048,1.71738
25,118,-1,55858,27,18.506,49.52380952,1.610022
25,119,1,57214,27,17.787,50.47619048,1.547469
25,118,-1,57214,27,17.248,49.52380952,1.500576
25,118,0,56027,27,18.053,49.52380952,1.570611
25,118,0,56027,27,20.002,49.52380952,1.740174
25,118,0,56027,27,20.257,49.52380952,1.762359
25,118,0,57059,27,17.499,49.52380952,1.522413
25,118,0,57059,27,16.521,49.52380952,1.437327
25,117,-1,55798,27,18.711,48.57142857,1.627857
25,116,-1,55798,27,20.497,47.61904762,1.783239
25,116,0,53760,27,19.332,47.61904762,1.681884
25,115,-1,53760,27,18.167,46.66666667,1.580529
25,115,0,50779,27,18.527,46.66666667,1.611849
25,115,0,50779,27,18.886,46.66666667,1.643082
195,116,1,52108,27,19.305,47.61904762,1.679535
195,116,0,52108,28,19.737,47.61904762,1.717119
195,117,1,50671,28,19.909,48.57142857,1.732083
195,117,0,50671,28,20.017,48.57142857,1.741479
195,118,1,51817,28,19.622,49.52380952,1.707114
195,118,0,51817,29,19.086,49.52380952,1.660482
195,118,0,52492,29,18.869,49.52380952,1.641603
195,119,1,52492,29,18.705,50.47619048,1.627335
195,119,0,51966,29,17.617,50.47619048,1.532679
195,119,0,51966,29,16.205,50.47619048,1.409835
195,119,0,52357,29,16.406,50.47619048,1.427322
195,119,0,52357,29,18.356,50.47619048,1.596972
195,119,0,52357,29,18.684,50.47619048,1.625508
195,119,0,51986,29,17.392,50.47619048,1.513104
195,120,1,51986,29,17.136,51.42857143,1.490832
195,120,0,51102,29,18.892,51.42857143,1.643604
195,121,1,51102,29,20.136,52.38095238,1.751832
195,121,0,50833,29,19.051,52.38095238,1.657437
195,122,1,50833,28,17.966,53.33333333,1.563042
195,122,0,51183,28,19.256,53.33333333,1.675272
195,122,0,51183,28,20.645,53.33333333,1.796115
195,122,0,48593,27,21.279,53.33333333,1.851273
195,123,1,48593,27,20.683,54.28571429,1.799421
195,123,0,49659,27,20.626,54.28571429,1.794462
195,123,0,49659,27,21.531,54.28571429,1.873197
195,123,0,50536,27,21.722,54.28571429,1.889814
195,123,0,50536,28,20.748,54.28571429,1.805076
195,123,0,50536,28,20.012,54.28571429,1.741044
195,123,0,51723,28,19.887,54.28571429,1.730169
195,123,0,51723,28,19.786,54.28571429,1.721382
25,123,0,51318,28,20.263,54.28571429,1.762881
25,123,0,51318,28,20.664,54.28571429,1.797768
25,122,-1,49672,28,19.854,53.33333333,1.727298
25,122,0,49672,28,19.044,53.33333333,1.656828
25,121,-1,46630,28,16.716,52.38095238,1.454292
25,121,0,46630,28,14.18,52.38095238,1.23366
25,121,0,46630,28,11.644,52.38095238,1.013028
25,121,0,46630,28,11.434,52.38095238,0.994758
25,122,1,40761,28,12.648,53.33333333,1.100376
25,122,0,40761,26,13.863,53.33333333,1.206081
25,123,1,40633,25,17.924,54.28571429,1.559388
25,124,1,40633,25,23.586,55.23809524,2.051982
25,124,0,40633,25,27.156,55.23809524,2.362572
25,124,0,42373,25,28.063,55.23809524,2.441481
25,123,-1,42373,24,28.971,54.28571429,2.520477
25,123,0,40990,24,26.846,54.28571429,2.335602
25,122,-1,40990,24,22.699,53.33333333,1.974813
25,121,-1,40619,23,19.939,52.38095238,1.734693
25,120,-1,40619,23,20.128,51.42857143,1.751136
25,120,0,40619,23,20.439,51.42857143,1.778193
25,120,0,40619,23,21.097,51.42857143,1.835439
25,119,-1,45294,23,21.755,50.47619048,1.892685
25,118,-1,45294,23,22.413,49.52380952,1.949931
