WR,HR,DeltaHR,VE,BF,VO2rel,HRR,VO2
25,77,2,19749,20,5.575,10.47619048,0.485025
25,78,1,19749,20,5.788,11.42857143,0.503556
25,80,2,19749,20,6.001,13.33333333,0.522087
25,83,3,18963,20,6.2379,16.19047619,0.5426973
25,84,1,18963,20,6.7487,17.14285714,0.5871369
25,85,1,18963,19,7.2595,18.0952381,0.6315765
25,86,1,19925,19,7.7704,19.04761905,0.6760248
25,86,0,19925,20,8.1479,19.04761905,0.7088673
25,87,1,19925,20,8.4208,20,0.7326096
25,87,0,20952,20,8.6937,20,0.7563519
25,87,0,20952,21,8.8954,20,0.7738998
25,87,0,19450,21,9.0496,20,0.7873152
25,87,0,19450,21,9.2038,20,0.8007306
25,86,-1,19450,20,9.0853,19.04761905,0.7904211
25,85,-1,19320,20,8.8899,18.0952381,0.7734213
25,84,-1,19320,20,8.6945,17.14285714,0.7564215
25,84,0,19320,20,8.7288,17.14285714,0.7594056
25,83,-1,19320,20,8.7726,16.19047619,0.7632162
25,83,0,21349,20,8.8343,16.19047619,0.7685841
25,83,0,21349,19,8.9595,16.19047619,0.7794765
25,82,-1,21349,19,9.0847,15.23809524,0.7903689
25,83,1,21349,18,9.3239,16.19047619,0.8111793
25,84,1,21921,19,10.161,17.14285714,0.884007
25,84,0,21921,19,10.999,17.14285714,0.956913
110,85,1,21921,19,11.836,18.0952381,1.029732
110,86,1,21934,19,12.673,19.04761905,1.102551
110,87,1,21934,19,12.147,20,1.056789
110,87,0,21960,19,10.459,20,0.909933
110,88,1,21960,20,8.7714,20.95238095,0.7631118
110,89,1,21960,20,8.518,21.9047619,0.741066
110,90,1,22142,20,8.6231,22.85714286,0.7502097
110,90,0,22142,20,8.7122,22.85714286,0.7579614
110,90,0,22142,20,8.7447,22.85714286,0.7607889
110,90,0,22272,20,8.7772,22.85714286,0.7636164
110,91,1,22272,20,9.0486,23.80952381,0.7872282
110,92,1,22604,20,9.559,24.76190476,0.831633
110,92,0,22604,20,10.069,24.76190476,0.876003
110,93,1,22604,20,11.128,25.71428571,0.968136
110,93,0,20562,21,12.276,25.71428571,1.068012
110,94,1,20562,21,12.737,26.66666667,1.108119
110,95,1,21888,22,12.512,27.61904762,1.088544
110,96,1,21888,23,12.287,28.57142857,1.068969
110,96,0,21888,23,12.375,28.57142857,1.076625
110,97,1,22214,23,12.498,29.52380952,1.087326
110,98,1,22214,23,12.505,30.47619048,1.087935
110,98,0,22942,23,12.364,30.47619048,1.075668
110,99,1,22942,24,12.224,31.42857143,1.063488
110,99,0,23215,24,13.134,31.42857143,1.142658
110,100,1,23215,24,14.111,32.38095238,1.227657
110,101,1,23215,24,13.632,33.33333333,1.185984
110,101,0,23481,24,12.097,33.33333333,1.052439
110,101,0,23481,24,10.677,33.33333333,0.928899
110,101,0,23833,24,12,33.33333333,1.044
110,101,0,23833,24,13.323,33.33333333,1.159101
25,102,1,23833,24,13.943,34.28571429,1.213041
25,102,0,24905,24,14.01,34.28571429,1.21887
25,102,0,24905,24,14.076,34.28571429,1.224612
25,101,-1,25172,24,14.129,33.33333333,1.229223
25,101,0,25172,24,14.181,33.33333333,1.233747
25,101,0,25172,24,14.254,33.33333333,1.240098
25,101,0,25204,24,14.337,33.33333333,1.247319
25,102,1,25204,24,14.419,34.28571429,1.254453
25,101,-1,25204,24,14.178,33.33333333,1.233486
25,101,0,25946,24,13.936,33.33333333,1.212432
25,100,-1,25946,24,13.673,32.38095238,1.189551
25,99,-1,25809,24,13.391,31.42857143,1.165017
25,98,-1,25809,23,13.109,30.47619048,1.140483
25,97,-1,25809,23,12.561,29.52380952,1.092807
25,96,-1,25608,23,11.962,28.57142857,1.040694
25,96,0,25608,23,11.631,28.57142857,1.011897
25,95,-1,25608,23,12.71,27.61904762,1.10577
25,94,-1,25608,23,13.788,26.66666667,1.199556
25,94,0,26271,22,14.288,26.66666667,1.243056
25,94,0,26271,22,14.11,26.66666667,1.22757
25,94,0,26271,21,13.932,26.66666667,1.212084
25,95,1,25660,21,13.754,27.61904762,1.196598
25,96,1,25660,21,14.298,28.57142857,1.243926
25,96,0,25276,21,14.959,28.57142857,1.301433
