WR,HR,DeltaHR,VE,BF,VO2rel,HRR,VO2
25,125,2,21341,16,10.67,35.96491228,0.515361
25,127,2,21341,16,10.664,37.71929825,0.5150712
25,130,3,18425,16,10.656,40.35087719,0.5146848
25,132,2,18425,17,10.615,42.10526316,0.5127045
25,133,1,18425,18,10.574,42.98245614,0.5107242
25,134,1,20583,18,10.525,43.85964912,0.5083575
25,135,1,20583,19,10.435,44.73684211,0.5040105
25,135,0,20583,20,10.345,44.73684211,0.4996635
25,134,-1,21577,20,10.337,43.85964912,0.4992771
25,134,0,21577,21,10.828,43.85964912,0.5229924
25,133,-1,21577,21,11.32,42.98245614,0.546756
25,131,-2,22225,21,11.812,41.22807018,0.5705196
25,129,-2,22225,21,11.842,39.47368421,0.5719686
25,128,-1,22225,21,11.863,38.59649123,0.5729829
25,126,-2,21626,21,11.884,36.84210526,0.5739972
25,124,-2,21626,22,11.791,35.0877193,0.5695053
25,123,-1,21626,22,11.685,34.21052632,0.5643855
25,123,0,21170,22,11.578,34.21052632,0.5592174
25,123,0,21170,21,11.925,34.21052632,0.5759775
25,124,1,21170,21,12.333,35.0877193,0.5956839
25,125,1,21083,21,12.742,35.96491228,0.6154386
25,124,-1,21083,20,13.003,35.0877193,0.6280449
25,124,0,21083,20,13.173,35.0877193,0.6362559
25,124,0,20951,20,13.344,35.0877193,0.6445152
165,123,-1,20951,20,13.656,34.21052632,0.6595848
165,122,-1,20951,20,14.008,33.33333333,0.6765864
165,121,-1,20890,20,14.361,32.45614035,0.6936363
165,120,-1,20890,20,14.38,31.57894737,0.694554
165,119,-1,20890,20,14.37,30.70175439,0.694071
165,120,1,21176,20,14.441,31.57894737,0.6975003
165,120,0,21176,20,14.667,31.57894737,0.7084161
165,121,1,21176,20,14.893,32.45614035,0.7193319
165,123,2,21154,20,15.577,34.21052632,0.7523691
165,125,2,21154,20,16.347,35.96491228,0.7895601
165,127,2,21742,20,17.087,37.71929825,0.8253021
165,128,1,21742,21,17.342,38.59649123,0.8376186
165,130,2,21742,21,17.598,40.35087719,0.8499834
165,131,1,22840,21,17.853,41.22807018,0.8622999
165,133,2,22840,21,18.46,42.98245614,0.891618
165,134,1,22840,21,19.145,43.85964912,0.9247035
165,135,1,22840,21,19.829,44.73684211,0.9577407
165,136,1,25338,21,20.514,45.61403509,0.9908262
165,136,0,25338,20,20.872,45.61403509,1.0081176
165,137,1,25338,20,20.393,46.49122807,0.9849819
165,138,1,25338,20,19.914,47.36842105,0.9618462
165,138,0,25338,20,19.435,47.36842105,0.9387105
165,139,1,25827,20,18.957,48.24561404,0.9156231
165,140,1,25827,19,19.547,49.12280702,0.9441201
165,141,1,25827,19,20.372,50,0.9839676
165,142,1,25585,18,21.197,50.87719298,1.0238151
165,143,1,25585,18,22.265,51.75438596,1.0753995
165,143,0,25585,18,23.339,51.75438596,1.1272737
165,144,1,26107,18,24.402,52.63157895,1.1786166
165,145,1,26107,18,25.404,53.50877193,1.2270132
25,146,1,26107,18,26.407,54.38596491,1.2754581
25,146,0,26107,18,27.409,54.38596491,1.3238547
25,147,1,29336,18,28.411,55.26315789,1.3722513
25,147,0,29336,18,29.7,55.26315789,1.43451
25,148,1,29336,17,31.002,56.14035088,1.4973966
25,148,0,28979,17,30.68,56.14035088,1.481844
25,149,1,28979,17,29.845,57.01754386,1.4415135
25,149,0,29325,17,29.088,57.01754386,1.4049504
25,149,0,29325,17,28.388,57.01754386,1.3711404
25,149,0,28397,17,27.896,57.01754386,1.3473768
25,149,0,28397,18,28.238,57.01754386,1.3638954
25,148,-1,28397,19,28.579,56.14035088,1.3803657
25,148,0,29786,19,28.994,56.14035088,1.4004102
25,147,-1,29786,20,29.461,55.26315789,1.4229663
25,146,-1,29786,21,29.928,54.38596491,1.4455224
25,146,0,34041,21,30.395,54.38596491,1.4680785
25,145,-1,34041,21,29.49,53.50877193,1.424367
25,144,-1,34041,21,28.199,52.63157895,1.3620117
25,144,0,33481,21,26.908,52.63157895,1.2996564
25,144,0,33481,21,28.266,52.63157895,1.3652478
25,143,-1,33481,21,29.855,51.75438596,1.4419965
25,143,0,31351,21,30.755,51.75438596,1.4854665
25,142,-1,31351,21,31.158,50.87719298,1.5049314
25,141,-1,33207,22,31.374,50,1.5153642
25,140,-1,33207,23,30.999,49.12280702,1.4972517
25,138,-2,33822,23,30.685,47.36842105,1.4820855
25,137,-1,33822,23,30.823,46.49122807,1.4887509
25,135,-2,33822,23,30.81,44.73684211,1.488123
25,134,-1,34667,23,29.053,43.85964912,1.4032599
25,134,0,34667,23,27.296,43.85964912,1.3183968
165,134,0,34810,23,27.081,43.85964912,1.3080123
165,135,1,34810,23,28.676,44.73684211,1.3850508
165,136,1,32306,23,29.113,45.61403509,1.4061579
165,136,0,32306,24,27.659,45.61403509,1.3359297
165,136,0,34832,24,26.651,45.61403509,1.2872433
165,136,0,34832,26,26.785,45.61403509,1.2937155
165,136,0,35502,27,27.069,45.61403509,1.3074327
165,136,0,35502,27,27.884,45.61403509,1.3467972
165,135,-1,35941,27,28.546,44.73684211,1.3787718
165,135,0,35941,27,28.093,44.73684211,1.3568919
165,136,1,35941,27,27.64,45.61403509,1.335012
165,137,1,39862,27,27.187,46.49122807,1.3131321
165,137,0,39862,27,24.807,46.49122807,1.1981781
165,138,1,39862,27,22.059,47.36842105,1.0654497
165,139,1,37517,27,21.39,48.24561404,1.033137
165,140,1,37517,26,21.612,49.12280702,1.0438596
165,140,0,37127,26,22.679,49.12280702,1.0953957
165,141,1,37127,26,26.422,50,1.2761826
165,142,1,38044,26,30.166,50.87719298,1.4570178
165,143,1,38044,26,32.014,51.75438596,1.5462762
165,143,0,38044,26,33.824,51.75438596,1.6336992
165,145,2,37720,26,32.935,53.50877193,1.5907605
165,145,0,37720,25,31.812,53.50877193,1.5365196
165,147,2,37896,25,32.53,55.26315789,1.571199
165,148,1,37896,25,33.499,56.14035088,1.6180017
165,149,1,37978,25,33.674,57.01754386,1.6264542
165,150,1,37978,25,33.779,57.89473684,1.6315257
165,152,2,37072,26,34.038,59.64912281,1.6440354
165,153,1,37072,26,34.995,60.52631579,1.6902585
165,154,1,39285,26,35.333,61.40350877,1.7065839
165,155,1,39285,27,34.569,62.28070175,1.6696827
165,156,1,40427,27,34.495,63.15789474,1.6661085
165,157,1,40427,28,35.546,64.03508772,1.7168718
165,158,1,42701,28,36.597,64.9122807,1.7676351
165,159,1,42701,28,35.853,65.78947368,1.7316999
165,160,1,42701,28,35.134,66.66666667,1.6969722
165,161,1,42261,28,35.865,67.54385965,1.7322795
165,161,0,42261,28,36.596,67.54385965,1.7675868
165,162,1,43563,28,38.135,68.42105263,1.8419205
165,163,1,43563,28,39.691,69.29824561,1.9170753
165,163,0,44985,28,36.678,69.29824561,1.7715474
165,164,1,44985,28,33.475,70.1754386,1.6168425
165,164,0,44447,28,33.423,70.1754386,1.6143309
165,165,1,44447,29,34.159,71.05263158,1.6498797
165,165,0,44447,29,34.895,71.05263158,1.6854285
165,165,0,46347,29,36.102,71.05263158,1.7437266
165,166,1,46347,28,37.427,71.92982456,1.8077241
165,166,0,45688,27,37.158,71.92982456,1.7947314
165,166,0,45688,27,36.928,71.92982456,1.7836224
165,167,1,43975,27,37.31,72.80701754,1.802073
165,167,0,43975,27,37.692,72.80701754,1.8205236
165,167,0,46116,28,37.663,72.80701754,1.8191229
165,167,0,46116,28,37.579,72.80701754,1.8150657
165,167,0,45820,28,39.303,72.80701754,1.8983349
165,167,0,45820,28,41.074,72.80701754,1.9838742
165,167,0,45045,28,41.071,72.80701754,1.9837293
165,168,1,45045,28,41.068,73.68421053,1.9835844
165,168,0,47516,28,40.545,73.68421053,1.9583235
165,168,0,47516,28,39.73,73.68421053,1.918959
165,168,0,46374,28,40.155,73.68421053,1.9394865
25,168,0,46374,29,40.462,73.68421053,1.9543146
25,169,1,48345,29,40.172,74.56140351,1.9403076
25,169,0,49597,30,40.022,74.56140351,1.9330626
25,169,0,49597,30,40.051,74.56140351,1.9344633
25,169,0,50004,31,39.276,74.56140351,1.8970308
25,169,0,50004,31,38.273,74.56140351,1.8485859
25,170,1,50558,32,38.017,75.43859649,1.8362211
25,170,0,50558,32,37.792,75.43859649,1.8253536
25,170,0,53957,32,37.207,75.43859649,1.7970981
25,170,0,53957,32,35.346,75.43859649,1.7072118
25,169,-1,48818,31,34.786,74.56140351,1.6801638
25,169,0,48818,31,36.177,74.56140351,1.7473491
25,168,-1,50586,31,36.123,73.68421053,1.7447409
25,168,0,50586,31,33.903,73.68421053,1.6375149
25,167,-1,49663,31,33.244,72.80701754,1.6056852
25,166,-1,49663,31,34.026,71.92982456,1.6434558
25,165,-1,48593,31,34.433,71.05263158,1.6631139
25,164,-1,48593,31,34.61,70.1754386,1.671663
25,163,-1,47719,30,32.652,69.29824561,1.5770916
25,163,0,47719,30,29.864,69.29824561,1.4424312
25,162,-1,49306,30,27.075,68.42105263,1.3077225
25,161,-1,49306,29,26.328,67.54385965,1.2716424
25,161,0,49306,28,27.319,67.54385965,1.3195077
25,160,-1,49306,28,28.31,66.66666667,1.367373
25,160,0,42832,28,32.606,66.66666667,1.5748698
25,159,-1,42832,27,38.063,65.78947368,1.8384429
25,158,-1,43585,27,36.397,64.9122807,1.7579751
