WR,HR,DeltaHR,VE,BF,VO2rel,HRR,VO2
120,84,3,16398,17,7.9416,27.10280374,0.50349744
120,86,2,16791,17,8.6484,28.97196262,0.54830856
120,88,2,16791,19,9.1703,30.8411215,0.58139702
120,91,3,16575,20,9.415,33.64485981,0.596911
120,92,1,16575,20,9.6597,34.57943925,0.61242498
120,93,1,16575,20,12.729,35.51401869,0.8070186
120,94,1,19100,20,15.916,36.44859813,1.0090744
120,95,1,19100,21,16.483,37.38317757,1.0450222
120,96,1,21814,22,15.154,38.31775701,0.9607636
120,96,0,21814,23,14.338,38.31775701,0.9090292
120,97,1,23575,24,14.838,39.25233645,0.9407292
120,97,0,23575,26,15.282,39.25233645,0.9688788
120,97,0,24140,27,15.078,39.25233645,0.9559452
120,97,0,24140,27,14.873,39.25233645,0.9429482
120,97,0,24140,27,15.046,39.25233645,0.9539164
120,97,0,24566,27,15.252,39.25233645,0.9669768
120,97,0,24566,27,14.662,39.25233645,0.9295708
120,97,0,25735,26,13.921,39.25233645,0.8825914
120,97,0,25735,26,14.226,39.25233645,0.9019284
120,98,1,26449,26,15.353,40.18691589,0.9733802
120,99,1,26449,26,15.649,41.12149533,0.9921466
120,100,1,27446,27,14.97,42.05607477,0.949098
120,101,1,27446,27,14.914,42.99065421,0.9455476
180,102,1,28648,28,16.831,43.92523364,1.0670854
180,104,2,28648,28,18.558,45.79439252,1.1765772
180,104,0,28747,28,15.749,45.79439252,0.9984866
180,105,1,28747,28,12.939,46.72897196,0.8203326
180,106,1,28747,28,14.856,47.6635514,0.9418704
180,108,2,28670,27,22.323,49.53271028,1.4152782
180,109,1,28670,27,23.565,50.46728972,1.494021
180,110,1,30259,27,23.051,51.40186916,1.4614334
180,111,1,30259,27,22.523,52.3364486,1.4279582
180,111,0,31223,27,21.981,52.3364486,1.3935954
180,113,2,31223,27,21.987,54.20560748,1.3939758
180,114,1,33211,28,22.54,55.14018692,1.429036
180,115,1,33211,28,22.337,56.07476636,1.4161658
180,116,1,34302,28,20.902,57.00934579,1.3251868
180,116,0,34302,28,20.429,57.00934579,1.2951986
180,117,1,34474,28,21.183,57.94392523,1.3430022
180,117,0,34474,28,22.212,57.94392523,1.4082408
180,118,1,35758,28,23.515,58.87850467,1.490851
180,118,0,35758,28,23.657,58.87850467,1.4998538
180,118,0,38217,29,22.728,58.87850467,1.4409552
180,119,1,38217,29,22.217,59.81308411,1.4085578
180,119,0,38466,29,22.197,59.81308411,1.4072898
180,119,0,38466,30,22.489,59.81308411,1.4258026
