Time,WR,HR,VE,BF,VO2rel,HRR,VO2
8,25,97,19947.202,15,10.2434,24.80620155,0.7938635
9,25,98,19980.316,14,10.0769,25.58139535,0.78095975
10,25,99,19980.316,14,9.9105,26.35658915,0.76806375
11,25,101,19980.316,14,9.744,27.90697674,0.75516
12,25,103,22585.284,14,7.1384,29.45736434,0.553226
13,25,105,22585.284,14,4.2002,31.00775194,0.3255155
14,25,107,22585.284,15,3.1471,32.55813953,0.24390025
15,25,109,22585.284,15,7.4592,34.10852713,0.578088
16,25,110,22585.284,15,11.7712,34.88372093,0.912268
17,25,109,22364.524,15,11.7522,34.10852713,0.9107955
18,25,108,22364.524,15,11.252,33.33333333,0.87203
19,25,108,22364.524,15,10.7517,33.33333333,0.83325675
20,25,108,23788.426,15,10.2514,33.33333333,0.7944835
21,25,108,23788.426,16,9.6608,33.33333333,0.748712
22,25,108,23788.426,16,9.0383,33.33333333,0.70046825
23,25,106,23788.426,17,8.4159,31.78294574,0.65223225
24,25,104,21073.078,16,8.1133,30.23255814,0.62878075
25,25,101,21073.078,16,8.2522,27.90697674,0.6395455
26,25,100,21073.078,15,8.3911,27.13178295,0.65031025
27,25,98,21073.078,15,8.53,25.58139535,0.661075
28,25,97,18832.364,15,8.3514,24.80620155,0.6472335
29,25,96,18832.364,15,7.9782,24.03100775,0.6183105
30,25,94,18832.364,15,7.6049,22.48062016,0.58937975
31,25,94,18832.364,15,7.2317,22.48062016,0.56045675
32,25,93,19196.618,15,7.1975,21.70542636,0.55780625
33,25,94,19196.618,15,7.248,22.48062016,0.56172
34,25,98,19196.618,15,7.2985,25.58139535,0.56563375
35,25,100,19196.618,15,7.349,27.13178295,0.5695475
36,25,102,19196.618,15,7.5325,28.68217054,0.58376875
37,25,103,18512.262,15,7.8721,29.45736434,0.61008775
38,25,105,18512.262,15,8.2116,31.00775194,0.636399
39,25,106,18512.262,15,8.5512,31.78294574,0.662718
40,25,106,17551.956,15,8.313,31.78294574,0.6442575
41,25,107,17551.956,15,7.9807,32.55813953,0.61850425
42,25,108,17551.956,15,7.6485,33.33333333,0.59275875
43,25,108,17551.956,15,7.3162,33.33333333,0.5670055
44,25,109,18457.072,15,7.1761,34.10852713,0.55614775
45,25,109,18457.072,15,7.9112,34.10852713,0.613118
46,25,109,18457.072,15,8.6463,34.10852713,0.67008825
47,25,109,18457.072,15,9.3815,34.10852713,0.72706625
48,25,109,18766.136,15,9.9339,34.10852713,0.76987725
49,25,110,18766.136,15,10.1614,34.88372093,0.7875085
50,25,110,18766.136,15,10.3889,34.88372093,0.80513975
51,25,110,18710.946,15,10.6164,34.88372093,0.822771
52,25,109,18710.946,15,10.4078,34.10852713,0.8066045
53,25,108,18710.946,15,10.0296,33.33333333,0.777294
54,25,107,18865.478,16,9.6514,32.55813953,0.7479835
55,25,106,18865.478,16,9.2733,31.78294574,0.71868075
56,25,105,18865.478,16,9.3294,31.00775194,0.7230285
57,25,104,18865.478,16,9.3855,30.23255814,0.72737625
58,25,103,20223.152,16,9.4417,29.45736434,0.73173175
59,25,103,20223.152,16,9.5644,29.45736434,0.741241
60,25,103,20223.152,16,9.7315,29.45736434,0.75419125
61,25,103,20223.152,16,9.8987,29.45736434,0.76714925
62,25,103,20223.152,16,10.1717,29.45736434,0.78830675
63,25,104,20576.368,16,10.4619,30.23255814,0.81079725
64,25,105,20576.368,16,10.7522,31.00775194,0.8332955
65,25,105,20576.368,16,11.0424,31.00775194,0.855786
66,25,104,20289.38,16,11.3326,30.23255814,0.8782765
67,25,104,20289.38,16,10.7287,30.23255814,0.83147425
68,25,104,20289.38,16,9.9013,30.23255814,0.76735075
69,25,104,20289.38,16,9.0738,30.23255814,0.7032195
70,25,103,19969.278,16,8.2464,29.45736434,0.639096
71,25,103,19969.278,16,7.9767,29.45736434,0.61819425
72,25,102,19969.278,16,7.9944,28.68217054,0.619566
73,25,102,20322.494,16,8.012,28.68217054,0.62093
74,25,102,20322.494,16,8.2005,28.68217054,0.63553875
75,25,103,20322.494,16,8.6675,29.45736434,0.67173125
76,25,103,20730.9,17,9.1346,29.45736434,0.7079315
77,25,104,20730.9,17,9.5155,30.23255814,0.73745125
78,25,104,20730.9,17,9.5038,30.23255814,0.7365445
79,25,104,20653.634,17,9.4921,30.23255814,0.73563775
80,25,103,20653.634,17,9.4803,29.45736434,0.73472325
81,25,103,20653.634,17,9.8691,29.45736434,0.76485525
82,25,102,20653.634,16,10.3844,28.68217054,0.804791
83,25,102,19549.834,17,10.8997,28.68217054,0.84472675
84,25,102,19549.834,17,10.9122,28.68217054,0.8456955
85,25,102,19549.834,17,10.6881,28.68217054,0.82832775
86,25,102,20289.38,17,10.464,28.68217054,0.81096
87,25,103,20289.38,17,10.9376,29.45736434,0.847664
88,25,103,20289.38,18,12.0551,29.45736434,0.93427025
89,25,103,20289.38,18,13.1726,29.45736434,1.0208765
90,25,103,20167.962,18,13.8827,29.45736434,1.07590925
91,25,103,20167.962,18,11.6052,29.45736434,0.899403
92,25,102,20167.962,18,9.3278,28.68217054,0.7229045
93,25,102,19914.088,18,7.0504,28.68217054,0.546406
94,25,101,19914.088,18,6.2672,27.90697674,0.485708
95,25,100,19914.088,18,6.8634,27.13178295,0.5319135
96,25,99,19318.036,18,7.4597,26.35658915,0.57812675
97,25,99,19318.036,18,8.0281,26.35658915,0.62217775
98,25,99,19318.036,18,8.5319,26.35658915,0.66122225
99,25,99,19141.428,18,9.0357,26.35658915,0.70026675
100,25,100,19141.428,18,9.5011,27.13178295,0.73633525
101,25,101,19141.428,18,9.7303,27.90697674,0.75409825
102,25,101,19141.428,18,9.9596,27.90697674,0.771869
103,25,101,18898.592,18,10.1889,27.90697674,0.78963975
104,25,101,18898.592,18,9.9128,27.90697674,0.768242
105,25,101,18898.592,18,9.5404,27.90697674,0.739381
106,25,101,20686.748,18,9.1681,27.90697674,0.71052775
107,25,101,20686.748,18,9.0813,27.90697674,0.70380075
108,25,101,20686.748,18,9.3889,27.90697674,0.72763975
109,25,101,20686.748,17,9.6964,27.90697674,0.751471
110,25,100,20686.748,17,10.0102,27.13178295,0.7757905
111,25,100,20355.608,17,10.3694,27.13178295,0.8036285
112,25,101,20355.608,17,10.7285,27.90697674,0.83145875
113,25,101,20355.608,17,11.0877,27.90697674,0.85929675
114,25,102,20355.608,17,11.4468,28.68217054,0.887127
115,25,102,20355.608,17,11.6688,28.68217054,0.904332
116,25,102,19880.974,17,10.885,28.68217054,0.8435875
117,25,102,19880.974,16,10.1012,28.68217054,0.782843
118,25,102,19880.974,16,9.3173,28.68217054,0.72209075
119,25,102,19880.974,16,8.5335,28.68217054,0.66134625
120,25,100,19880.974,16,7.7497,27.13178295,0.60060175
121,25,99,19880.974,16,7.9064,26.35658915,0.612746
122,25,97,19671.252,16,8.0823,24.80620155,0.62637825
123,25,97,19671.252,15,8.2582,24.80620155,0.6400105
124,25,95,19671.252,15,8.4341,23.25581395,0.65364275
125,25,95,19671.252,14,8.4298,23.25581395,0.6533095
