WR,HR,DeltaHR,VE,BF,VO2rel,HRR,VO2
25,85,3,16191,18,11.111,23.72881356,0.733326
25,88,3,16761,18,11.232,26.27118644,0.741312
25,91,3,16761,18,11.353,28.81355932,0.749298
25,93,2,16761,18,11.453,30.50847458,0.755898
25,94,1,18718,18,11.554,31.3559322,0.762564
25,95,1,18718,19,11.637,32.20338983,0.768042
25,96,1,18718,19,11.304,33.05084746,0.746064
25,95,-1,19191,20,10.97,32.20338983,0.72402
25,95,0,19191,20,10.752,32.20338983,0.709632
25,94,-1,20594,20,11.057,31.3559322,0.729762
25,92,-2,20594,20,11.363,29.66101695,0.749958
25,92,0,20594,20,11.453,29.66101695,0.755898
25,92,0,21050,20,11.124,29.66101695,0.734184
25,91,-1,21050,21,10.796,28.81355932,0.712536
25,90,-1,21050,21,10.609,27.96610169,0.700194
25,89,-1,20757,21,10.589,27.11864407,0.698874
25,88,-1,20757,21,10.568,26.27118644,0.697488
25,87,-1,20757,21,10.796,25.42372881,0.712536
25,86,-1,21727,20,11.293,24.57627119,0.745338
25,84,-2,21727,20,11.79,22.88135593,0.77814
25,83,-1,21727,20,12.287,22.03389831,0.810942
25,83,0,21727,20,12.659,22.03389831,0.835494
175,83,0,21540,20,12.924,22.03389831,0.852984
175,83,0,21540,20,13.19,22.03389831,0.87054
175,85,2,21540,19,13.455,23.72881356,0.88803
175,85,0,21540,19,13.253,23.72881356,0.874698
175,86,1,20993,19,12.886,24.57627119,0.850476
175,87,1,20993,19,12.632,25.42372881,0.833712
175,88,1,21605,19,12.639,26.27118644,0.834174
175,88,0,21605,19,12.646,26.27118644,0.834636
175,91,3,21605,19,13.383,28.81355932,0.883278
175,94,3,22706,20,14.167,31.3559322,0.935022
175,97,3,22706,20,14.951,33.89830508,0.986766
175,98,1,22706,20,16.344,34.74576271,1.078704
175,101,3,24475,20,17.749,37.28813559,1.171434
175,104,3,24475,19,19.154,39.83050847,1.264164
175,106,2,24475,19,18.398,41.52542373,1.214268
175,108,2,25535,19,17.347,43.22033898,1.144902
175,110,2,25535,20,16.039,44.91525424,1.058574
175,112,2,26171,20,14.512,46.61016949,0.957792
175,113,1,26171,20,13.949,47.45762712,0.920634
175,114,1,28919,21,15.864,48.30508475,1.047024
175,115,1,28919,21,17.78,49.15254237,1.17348
175,117,2,28919,22,19.194,50.84745763,1.266804
175,117,0,30941,22,18.6,50.84745763,1.2276
175,118,1,30941,22,18.006,51.69491525,1.188396
175,118,0,30941,22,17.527,51.69491525,1.156782
175,119,1,31455,22,17.567,52.54237288,1.159422
175,119,0,31455,22,17.608,52.54237288,1.162128
175,119,0,31455,22,18.841,52.54237288,1.243506
175,120,1,32466,22,20.337,53.38983051,1.342242
175,120,0,32466,22,21.832,53.38983051,1.440912
25,120,0,32466,22,21.124,53.38983051,1.394184
25,121,1,33493,22,20.416,54.23728814,1.347456
25,121,0,33493,22,19.752,54.23728814,1.303632
25,121,0,33493,22,19.32,54.23728814,1.27512
25,121,0,35459,22,18.888,54.23728814,1.246608
25,120,-1,35459,22,18.456,53.38983051,1.218096
25,120,0,35459,22,18.024,53.38983051,1.189584
25,120,0,35459,21,17.753,53.38983051,1.171698
25,119,-1,34007,21,17.488,52.54237288,1.154208
25,117,-2,34007,21,17.223,50.84745763,1.136718
25,116,-1,34007,20,17.897,50,1.181202
25,115,-1,33469,20,18.749,49.15254237,1.237434
25,113,-2,33469,19,19.602,47.45762712,1.293732
25,112,-1,33469,19,19.769,46.61016949,1.304754
25,112,0,33510,19,19.55,46.61016949,1.2903
25,110,-2,33510,19,19.331,44.91525424,1.275846
25,108,-2,33510,19,19.435,43.22033898,1.28271
25,107,-1,34113,19,19.888,42.37288136,1.312608
25,106,-1,34113,19,20.341,41.52542373,1.342506
25,105,-1,34113,19,20.736,40.6779661,1.368576
25,104,-1,34113,19,19.761,39.83050847,1.304226
25,104,0,33273,19,18.785,39.83050847,1.23981
25,103,-1,33273,18,17.81,38.98305085,1.17546
25,102,-1,33273,18,17.094,38.13559322,1.128204
25,102,0,33273,18,17.564,38.13559322,1.159224
25,101,-1,32066,18,18.033,37.28813559,1.190178
25,100,-1,32066,17,18.502,36.44067797,1.221132
25,100,0,32066,17,18.931,36.44067797,1.249446
25,100,0,31088,17,19.333,36.44067797,1.275978
25,99,-1,31088,17,19.736,35.59322034,1.302576
175,99,0,31088,17,20.139,35.59322034,1.329174
175,99,0,31088,17,21.106,35.59322034,1.392996
175,100,1,32287,17,22.074,36.44067797,1.456884
175,100,0,32287,17,22.714,36.44067797,1.499124
175,100,0,32548,17,22.512,36.44067797,1.485792
175,101,1,32548,18,22.532,37.28813559,1.487112
175,102,1,33591,18,23.726,38.13559322,1.565916
