WR,HR,DeltaHR,VE,BF,VO2rel,HRR,VO2
130,118,0,43167,31,21.145,46.15384615,1.429402
130,119,1,41684,32,19.696,46.92307692,1.3314496
130,119,0,41684,33,20.075,46.92307692,1.35707
130,120,1,41395,33,22.143,47.69230769,1.4968668
130,120,0,41395,33,21.749,47.69230769,1.4702324
130,121,1,41763,33,20.49,48.46153846,1.385124
130,122,1,41763,33,20.148,49.23076923,1.3620048
130,123,1,44379,33,20.101,50,1.3588276
130,123,0,44379,32,20.38,50,1.377688
130,124,1,42165,32,20.659,50.76923077,1.3965484
130,124,0,42165,31,20.296,50.76923077,1.3720096
130,124,0,40599,31,19.506,50.76923077,1.3186056
130,125,1,40599,31,19.699,51.53846154,1.3316524
130,125,0,40668,30,20.275,51.53846154,1.37059
130,126,1,40668,30,20.361,52.30769231,1.3764036
25,126,0,41154,30,20.148,52.30769231,1.3620048
25,127,1,41154,30,20.133,53.07692308,1.3609908
25,127,0,41154,30,20.219,53.07692308,1.3668044
25,127,0,39426,30,18.503,53.07692308,1.2508028
25,127,0,39426,29,16.015,53.07692308,1.082614
25,127,0,39426,29,13.527,53.07692308,0.9144252
25,127,0,39426,29,12.368,53.07692308,0.8360768
25,127,0,37620,28,14.311,53.07692308,0.9674236
25,127,0,37620,27,16.254,53.07692308,1.0987704
25,126,-1,37620,25,18.197,52.30769231,1.2301172
25,126,0,32750,25,17.924,52.30769231,1.2116624
25,125,-1,32750,24,17.23,51.53846154,1.164748
25,124,-1,32779,24,17.947,50.76923077,1.2132172
25,123,-1,32779,24,21.176,50,1.4314976
25,124,1,32917,24,24.404,50.76923077,1.6497104
25,121,-3,32917,24,23.619,48.46153846,1.5966444
25,121,0,32956,23,22.667,48.46153846,1.5322892
25,119,-2,32956,23,21.414,46.92307692,1.4475864
25,119,0,32956,23,20.055,46.92307692,1.355718
25,117,-2,32146,23,19.372,45.38461538,1.3095472
25,115,-2,32146,23,19.482,43.84615385,1.3169832
25,114,-1,31199,23,19.593,43.07692308,1.3244868
25,112,-2,31199,23,18.569,41.53846154,1.2552644
25,109,-3,31199,22,17.521,39.23076923,1.1844196
25,108,-1,31012,23,17.231,38.46153846,1.1648156
25,106,-2,31012,24,17.33,36.92307692,1.171508
25,106,0,32853,25,17.321,36.92307692,1.1708996
25,104,-2,32853,25,16.928,35.38461538,1.1443328
25,102,-2,30909,25,16.536,33.84615385,1.1178336
25,101,-1,30909,25,16.023,33.07692308,1.0831548
130,100,-1,30909,25,15.481,32.30769231,1.0465156
130,100,0,30595,25,15.368,32.30769231,1.0388768
130,100,0,29633,25,15.592,32.30769231,1.0540192
130,100,0,29633,26,16.249,32.30769231,1.0984324
130,101,1,28764,26,17.612,33.07692308,1.1905712
130,101,0,28764,27,18.29,33.07692308,1.236404
130,102,1,30030,27,18.385,33.84615385,1.242826
130,103,1,30030,28,18.09,34.61538462,1.222884
130,105,2,30045,28,17.66,36.15384615,1.193816
