Time,WR,HR,VE,BF,VO2rel,HRR,VO2,,,
10,25,94,15359.38,15,8.0812,23.68421053,0.6222524,,,
11,25,97,15359.38,15,8.3715,26.31578947,0.6446055,,,
12,25,98,15536.5,15,8.6619,27.19298246,0.6669663,,,
13,25,99,15536.5,15,8.9522,28.07017544,0.6893194,,,
14,25,99,15536.5,15,9.2425,28.07017544,0.7116725,,,
15,25,99,15536.5,14,9.675,28.07017544,0.744975,,,
16,25,99,15536.5,14,10.1233,28.07017544,0.7794941,,,
17,25,97,20941.94,14,10.5716,26.31578947,0.8140132,,,
18,25,97,20941.94,14,11.0199,26.31578947,0.8485323,,,
19,25,97,20941.94,14,11.4682,26.31578947,0.8830514,,,
20,25,96,20941.94,14,11.9165,25.43859649,0.9175705,,,
21,25,96,20941.94,14,12.3648,25.43859649,0.9520896,,,
22,25,95,20941.94,14,10.8671,24.56140351,0.8367667,,,
23,25,94,19269.14,14,9.3693,23.68421053,0.7214361,,,
24,25,93,19269.14,14,7.8716,22.80701754,0.6061132,,,
25,25,92,19269.14,14,6.3739,21.92982456,0.4907903,,,
26,25,91,19269.14,14,6.365,21.05263158,0.490105,,,
27,25,90,19898.9,14,6.4511,20.1754386,0.4967347,,,
28,25,90,19898.9,14,6.5372,20.1754386,0.5033644,,,
29,25,88,19898.9,14,6.6233,18.42105263,0.5099941,,,
30,25,87,19898.9,14,6.5213,17.54385965,0.5021401,,,
31,25,87,20397.46,14,6.4115,17.54385965,0.4936855,,,
32,25,87,20397.46,14,6.3016,17.54385965,0.4852232,,,
33,25,86,20397.46,14,6.1917,16.66666667,0.4767609,,,
34,25,86,20397.46,14,6.7399,16.66666667,0.5189723,,,
35,25,85,18600.02,14,7.2881,15.78947368,0.5611837,,,
36,25,85,18600.02,14,7.8363,15.78947368,0.6033951,,,
37,25,84,18600.02,13,8.3844,14.9122807,0.6455988,,,
38,25,83,18600.02,13,8.3426,14.03508772,0.6423802,,,
39,25,82,18600.02,13,8.2761,13.15789474,0.6372597,,,
40,25,82,18593.46,13,8.2097,13.15789474,0.6321469,,,
41,25,82,18593.46,13,8.1432,13.15789474,0.6270264,,,
42,25,82,18593.46,13,8.273,13.15789474,0.637021,,,
43,25,82,18593.46,13,8.4154,13.15789474,0.6479858,,,
44,25,82,18613.14,13,8.5577,13.15789474,0.6589429,,,
45,25,82,18613.14,13,8.7001,13.15789474,0.6699077,,,
46,25,82,18613.14,13,8.9471,13.15789474,0.6889267,,,
47,25,82,18613.14,13,9.2762,13.15789474,0.7142674,,,
48,25,82,15306.9,13,9.6054,13.15789474,0.7396158,,,
49,25,82,15306.9,13,9.9346,13.15789474,0.7649642,,,
50,25,82,15306.9,13,10.2637,13.15789474,0.7903049,,,
51,25,83,15306.9,14,10.142,14.03508772,0.780934,,,
52,25,83,15306.9,14,9.7666,14.03508772,0.7520282,,,
53,25,83,16527.06,14,9.3913,14.03508772,0.7231301,,,
54,25,84,16527.06,14,9.0159,14.9122807,0.6942243,,,
55,25,84,16527.06,14,8.6444,14.9122807,0.6656188,,,
56,25,84,16527.06,14,8.4631,14.9122807,0.6516587,,,
57,25,85,16527.06,14,8.2817,15.78947368,0.6376909,,,
58,25,85,16494.26,14,8.1003,15.78947368,0.6237231,,,
59,25,84,16494.26,14,7.919,14.9122807,0.609763,,,
60,25,85,16494.26,14,7.7376,15.78947368,0.5957952,,,
61,25,85,16494.26,14,7.7636,15.78947368,0.5977972,,,
62,25,85,16494.26,14,7.8126,15.78947368,0.6015702,,,
63,25,85,16946.9,14,7.8617,15.78947368,0.6053509,,,
64,25,85,16946.9,13,7.9107,15.78947368,0.6091239,,,
65,25,85,16946.9,13,7.9892,15.78947368,0.6151684,,,
66,25,85,16946.9,13,8.1723,15.78947368,0.6292671,,,
67,25,85,16946.9,13,8.3553,15.78947368,0.6433581,,,
68,25,84,17196.18,13,8.5384,14.9122807,0.6574568,,,
69,25,84,17196.18,13,8.7214,14.9122807,0.6715478,,,
70,25,84,17196.18,13,8.8733,14.9122807,0.6832441,,,
71,25,84,17196.18,13,9.006,14.9122807,0.693462,,,
72,25,84,17589.78,13,9.1387,14.9122807,0.7036799,,,
73,25,83,17589.78,13,9.2714,14.03508772,0.7138978,,,
74,25,83,17589.78,13,9.4041,14.03508772,0.7241157,,,
75,25,82,17589.78,13,9.3088,13.15789474,0.7167776,,,
76,25,81,17589.78,13,9.2041,12.28070175,0.7087157,,,
77,25,81,17124.02,13,9.0994,12.28070175,0.7006538,,,
78,25,80,17124.02,13,8.9946,11.40350877,0.6925842,,,
79,25,80,17124.02,13,9.1992,11.40350877,0.7083384,,,
80,25,80,17124.02,13,9.4459,11.40350877,0.7273343,,,
81,25,80,16540.18,13,9.6926,11.40350877,0.7463302,,,
82,25,79,16540.18,13,9.9394,10.52631579,0.7653338,,,
83,25,79,16540.18,13,10.0592,10.52631579,0.7745584,,,
84,25,79,16540.18,13,10.1648,10.52631579,0.7826896,,,
85,25,79,16546.74,13,10.2705,10.52631579,0.7908285,,,
86,25,79,16546.74,13,10.3762,10.52631579,0.7989674,,,
87,25,80,16546.74,13,10.2122,11.40350877,0.7863394,,,
88,25,80,16546.74,13,9.883,11.40350877,0.760991,,,
89,25,81,17019.06,13,9.5538,12.28070175,0.7356426,,,
90,25,81,17019.06,13,9.2247,12.28070175,0.7103019,,,
91,25,81,17019.06,13,9.0896,12.28070175,0.6998992,,,
92,25,81,17019.06,13,9.1488,12.28070175,0.7044576,,,
93,25,81,17517.62,13,9.208,12.28070175,0.709016,,,
94,25,81,17517.62,14,9.2672,12.28070175,0.7135744,,,
95,25,81,17517.62,14,9.3284,12.28070175,0.7182868,,,
96,25,81,17517.62,14,9.4394,12.28070175,0.7268338,,,
97,25,81,17517.62,14,9.5504,12.28070175,0.7353808,,,
98,25,82,18153.94,14,9.6614,13.15789474,0.7439278,,,
99,25,82,18153.94,14,9.7724,13.15789474,0.7524748,,,
100,25,82,18153.94,14,9.8267,13.15789474,0.7566559,,,
101,25,82,18153.94,14,9.6798,13.15789474,0.7453446,,,
102,25,83,18035.86,14,9.5329,14.03508772,0.7340333,,,
103,25,83,18035.86,14,9.3859,14.03508772,0.7227143,,,
104,25,83,18035.86,14,9.239,14.03508772,0.711403,,,
105,25,83,18035.86,14,9.2909,14.03508772,0.7153993,,,
106,25,83,18035.86,14,9.4127,14.03508772,0.7247779,,,
107,25,82,18783.7,14,9.5344,13.15789474,0.7341488,,,
108,25,81,18783.7,14,9.6562,12.28070175,0.7435274,,,
109,25,81,18783.7,14,9.6772,12.28070175,0.7451444,,,
110,25,81,18783.7,14,9.6311,12.28070175,0.7415947,,,
111,25,81,19531.54,14,9.5849,12.28070175,0.7380373,,,
112,25,81,19531.54,14,9.5387,12.28070175,0.7344799,,,
113,25,81,19531.54,14,9.4926,12.28070175,0.7309302,,,
114,25,81,19531.54,13,9.5112,12.28070175,0.7323624,,,
115,25,81,19531.54,13,9.5631,12.28070175,0.7363587,,,
116,25,81,19538.1,13,9.615,12.28070175,0.740355,,,
117,25,81,19538.1,13,9.667,12.28070175,0.744359,,,
118,25,80,19538.1,13,9.7189,11.40350877,0.7483553,,,
119,25,80,19538.1,13,9.6378,11.40350877,0.7421106,,,
120,25,79,19538.1,13,9.5235,10.52631579,0.7333095,,,
121,25,79,19124.82,13,9.4092,10.52631579,0.7245084,,,
122,25,78,19124.82,13,9.2948,9.649122807,0.7156996,,,
123,25,78,19124.82,13,9.1805,9.649122807,0.7068985,,,
124,25,78,19124.82,13,8.9806,9.649122807,0.6915062,,,
125,25,78,19124.82,13,8.7474,9.649122807,0.6735498,,,
126,25,77,18941.14,13,8.5142,8.771929825,0.6555934,,,
127,25,77,18941.14,13,8.281,8.771929825,0.637637,,,
128,25,76,18941.14,13,8.0478,7.894736842,0.6196806,,,
129,25,76,18941.14,12,8.1882,7.894736842,0.6304914,,,
130,25,77,18941.14,12,8.3442,8.771929825,0.6425034,,,
131,25,77,19229.78,12,8.5001,8.771929825,0.6545077,,,
132,25,77,19229.78,12,8.6561,8.771929825,0.6665197,,,
133,25,78,19229.78,12,8.812,9.649122807,0.678524,,,
134,25,79,19229.78,12,9.0264,10.52631579,0.6950328,,,
135,25,79,19229.78,12,9.2737,10.52631579,0.7140749,,,
136,25,80,19229.78,12,9.5211,11.40350877,0.7331247,,,
137,25,80,20141.62,12,9.7684,11.40350877,0.7521668,,,
138,25,79,20141.62,12,10.0157,10.52631579,0.7712089,,,
139,25,79,20141.62,12,10.263,10.52631579,0.790251,,,
140,25,79,20141.62,12,10.5103,10.52631579,0.8092931,,,
141,25,79,20141.62,12,10.2372,10.52631579,0.7882644,,,
142,25,79,20141.62,12,9.7812,10.52631579,0.7531524,,,
143,25,79,19367.54,12,9.3252,10.52631579,0.7180404,,,
144,25,80,19367.54,12,8.8692,11.40350877,0.6829284,,,
145,25,81,19367.54,12,8.6694,12.28070175,0.6675438,,,
146,25,81,19367.54,11,8.6877,12.28070175,0.6689529,,,
147,25,80,19367.54,11,8.7061,11.40350877,0.6703697,,,
148,25,80,18908.34,11,8.7244,11.40350877,0.6717788,,,
149,25,79,18908.34,12,8.7428,10.52631579,0.6731956,,,
150,25,79,18908.34,12,8.8794,10.52631579,0.6837138,,,
151,25,80,18908.34,12,9.0353,11.40350877,0.6957181,,,
152,25,80,18508.18,12,9.1912,11.40350877,0.7077224,,,
153,25,81,18508.18,12,9.3018,12.28070175,0.7162386,,,
154,25,81,18508.18,12,9.3161,12.28070175,0.7173397,,,
155,25,81,18508.18,12,9.3304,12.28070175,0.7184408,,,
156,25,81,19374.1,12,9.3446,12.28070175,0.7195342,,,
157,25,80,19374.1,12,9.3589,11.40350877,0.7206353,,,
158,25,80,19374.1,12,9.4727,11.40350877,0.7293979,,,
159,25,80,19374.1,12,9.6425,11.40350877,0.7424725,,,
160,25,80,19715.22,12,9.8124,11.40350877,0.7555548,,,
161,25,80,19715.22,12,9.9822,11.40350877,0.7686294,,,
162,25,80,19715.22,12,10.152,11.40350877,0.781704,,,
163,25,80,19715.22,12,10.0689,11.40350877,0.7753053,,,
164,25,80,19715.22,12,9.8173,11.40350877,0.7559321,,,
165,25,80,18809.94,12,9.5656,11.40350877,0.7365512,,,
166,25,79,18809.94,12,9.314,10.52631579,0.717178,,,
167,25,79,18809.94,12,9.0872,10.52631579,0.6997144,,,
168,25,79,18114.58,13,8.8639,10.52631579,0.6825203,,,
169,25,80,18114.58,13,8.6405,11.40350877,0.6653185,,,
170,25,80,18114.58,13,8.4277,11.40350877,0.6489329,,,
171,25,81,18114.58,13,8.4691,12.28070175,0.6521207,,,
172,25,81,19052.66,13,8.5104,12.28070175,0.6553008,,,
173,25,81,19052.66,14,8.5517,12.28070175,0.6584809,,,
174,25,82,19052.66,14,8.593,13.15789474,0.661661,,,
175,25,82,19052.66,14,8.9033,13.15789474,0.6855541,,,
176,25,83,19052.66,14,9.2249,14.03508772,0.7103173,,,
177,25,83,19479.06,14,9.5464,14.03508772,0.7350728,,,
178,25,83,19479.06,14,9.8679,14.03508772,0.7598283,,,
179,25,83,19479.06,14,10.1738,14.03508772,0.7833826,,,
180,25,82,19479.06,14,9.7112,13.15789474,0.7477624,,,
181,25,82,19387.22,14,9.2486,13.15789474,0.7121422,,,
182,25,81,19387.22,14,8.7861,12.28070175,0.6765297,,,
183,25,81,19387.22,14,8.7949,12.28070175,0.6772073,,,
184,25,81,19177.3,14,9.0255,12.28070175,0.6949635,,,
185,25,81,19177.3,14,9.2561,12.28070175,0.7127197,,,
186,25,81,19177.3,14,9.4768,12.28070175,0.7297136,,,
187,25,81,19177.3,15,9.542,12.28070175,0.734734,,,
188,25,80,18777.14,15,9.6072,11.40350877,0.7397544,,,
189,25,80,18777.14,15,9.6723,11.40350877,0.7447671,,,
190,25,80,18777.14,15,9.7928,11.40350877,0.7540456,,,
191,25,81,18777.14,15,9.9392,12.28070175,0.7653184,,,
192,25,81,18777.14,15,10.0857,12.28070175,0.7765989,,,
193,25,82,23080.5,15,10.2321,13.15789474,0.7878717,,,
194,25,81,23080.5,15,10.3786,12.28070175,0.7991522,,,
195,25,81,23080.5,15,10.525,12.28070175,0.810425,,,
196,25,81,23080.5,14,10.6715,12.28070175,0.8217055,,,
197,25,82,23080.5,14,10.8179,13.15789474,0.8329783,,,
198,25,82,23080.5,14,10.2673,13.15789474,0.7905821,,,
199,25,83,21552.02,14,9.7166,14.03508772,0.7481782,,,
200,25,82,21552.02,14,9.166,13.15789474,0.705782,,,
201,25,82,21552.02,14,8.6153,13.15789474,0.6633781,,,
202,25,81,21552.02,13,8.2965,12.28070175,0.6388305,,,
203,25,80,21552.02,13,8.1915,11.40350877,0.6307455,,,
204,25,79,20915.7,13,8.0866,10.52631579,0.6226682,,,
205,25,79,20915.7,13,7.9817,10.52631579,0.6145909,,,
206,25,80,20915.7,13,7.8958,11.40350877,0.6079766,,,
207,25,80,20915.7,13,7.8543,11.40350877,0.6047811,,,
208,25,80,20915.7,13,7.8128,11.40350877,0.6015856,,,
209,25,81,20148.18,13,7.7713,12.28070175,0.5983901,,,
210,25,80,20148.18,13,7.7298,11.40350877,0.5951946,,,
211,25,79,20148.18,13,7.8135,10.52631579,0.6016395,,,
212,25,80,20148.18,13,8.0223,11.40350877,0.6177171,,,
213,25,80,20148.18,13,8.2311,11.40350877,0.6337947,,,
214,25,82,20797.62,13,8.4399,13.15789474,0.6498723,,,
215,25,82,20797.62,13,8.6487,13.15789474,0.6659499,,,
216,25,83,20797.62,13,8.8695,14.03508772,0.6829515,,,
217,25,83,20797.62,13,9.1636,14.03508772,0.7055972,,,
218,25,82,20436.82,13,9.4578,13.15789474,0.7282506,,,
219,25,82,20436.82,12,9.7519,13.15789474,0.7508963,,,
220,25,80,20436.82,12,10.0461,11.40350877,0.7735497,,,
221,25,80,20436.82,12,9.9409,11.40350877,0.7654493,,,
222,25,80,20436.82,12,9.1257,11.40350877,0.7026789,,,
223,25,81,20148.18,12,8.3104,12.28070175,0.6399008,,,
224,25,81,20148.18,12,7.4952,12.28070175,0.5771304,,,
225,25,80,20148.18,12,7.7203,11.40350877,0.5944631,,,
226,25,80,20148.18,12,8.0359,11.40350877,0.6187643,,,
227,25,81,16527.06,12,8.3515,12.28070175,0.6430655,,,
228,25,81,16527.06,12,8.6671,12.28070175,0.6673667,,,
