Time,WR,HR,VE,BF,VO2rel,HRR,VO2
100,25,89,18528.55,19,9.633,17.32283465,0.780273
101,25,88,18005.11,18,9.7751,16.53543307,0.7917831
102,25,88,18005.11,18,9.9744,16.53543307,0.8079264
103,25,87,18005.11,18,10.3208,15.7480315,0.8359848
104,25,87,18888.415,18,10.6671,15.7480315,0.8640351
105,25,86,18888.415,18,10.9404,14.96062992,0.8861724
106,25,86,18888.415,18,11.1879,14.96062992,0.9062199
107,25,85,19139.23,18,11.4355,14.17322835,0.9262755
108,25,85,19139.23,18,10.5765,14.17322835,0.8566965
109,25,86,17863.345,18,9.5946,14.96062992,0.7771626
110,25,87,17863.345,18,9.0844,15.7480315,0.7358364
111,25,88,20295.16,20,9.1279,16.53543307,0.7393599
112,25,90,20295.16,21,9.1715,18.11023622,0.7428915
113,25,91,20295.16,23,4.8227,18.8976378,0.3906387
114,25,91,22301.68,23,4.4361,18.8976378,0.3593241
115,25,91,22301.68,23,6.6967,18.8976378,0.5424327
116,25,91,22301.68,23,8.9574,18.8976378,0.7255494
117,25,91,20676.835,22,11.218,18.8976378,0.908658
118,25,91,20676.835,22,12.5466,18.8976378,1.0162746
119,25,91,20066.155,22,11.7006,18.8976378,0.9477486
120,25,91,20066.155,23,10.9407,18.8976378,0.8861967
121,25,91,20066.155,23,10.5255,18.8976378,0.8525655
122,25,91,21396.565,23,10.3957,18.8976378,0.8420517
123,25,91,21396.565,23,11.7646,18.8976378,0.9529326
124,25,92,23413.99,23,13.1334,19.68503937,1.0638054
125,25,92,23413.99,24,13.5264,19.68503937,1.0956384
126,25,93,23413.99,24,12.7738,20.47244094,1.0346778
127,25,93,23413.99,24,12.0211,20.47244094,0.9737091
128,25,93,24711.685,23,11.2685,20.47244094,0.9127485
129,25,93,24711.685,22,10.8711,20.47244094,0.8805591
130,25,91,24711.685,21,10.5625,18.8976378,0.8555625
131,25,91,24711.685,21,10.2538,18.8976378,0.8305578
132,25,90,24460.87,21,9.9452,18.11023622,0.8055612
133,25,89,24460.87,20,9.7689,17.32283465,0.7912809
134,25,88,24460.87,19,9.6884,16.53543307,0.7847604
135,25,88,24460.87,19,9.6079,16.53543307,0.7782399
136,25,88,24460.87,19,9.5275,16.53543307,0.7717275
137,25,86,23348.56,19,9.2518,14.96062992,0.7493958
138,25,85,23348.56,19,8.8565,14.17322835,0.7173765
139,25,84,23348.56,19,8.4611,13.38582677,0.6853491
140,25,83,23348.56,18,8.0658,12.5984252,0.6533298
141,25,83,22050.865,18,6.9531,12.5984252,0.5632011
142,25,82,22050.865,18,5.7781,11.81102362,0.4680261
143,25,82,22050.865,17,4.6031,11.81102362,0.3728511
144,25,82,22050.865,17,5.3032,11.81102362,0.4295592
145,25,82,22050.865,17,6.3604,11.81102362,0.5151924
146,25,81,20818.6,17,7.4177,11.02362205,0.6008337
147,25,80,20818.6,16,7.9987,10.23622047,0.6478947
148,25,79,20818.6,15,8.2349,9.448818898,0.6670269
149,25,79,19433.665,15,8.4711,9.448818898,0.6861591
150,25,80,19433.665,15,8.66,10.23622047,0.70146
151,25,81,19433.665,15,8.837,11.02362205,0.715797
152,25,83,17983.3,15,9.014,12.5984252,0.730134
153,25,84,17983.3,15,8.6173,13.38582677,0.6980013
154,25,85,17983.3,15,8.1423,14.17322835,0.6595263
155,25,85,15856.825,15,7.9171,14.17322835,0.6412851
156,25,85,15856.825,15,8.6911,14.17322835,0.7039791
157,25,86,15660.535,16,9.465,14.96062992,0.766665
158,25,87,15660.535,17,9.6583,15.7480315,0.7823223
159,25,87,15660.535,17,9.431,15.7480315,0.763911
160,25,87,15507.865,17,9.2037,15.7480315,0.7454997
161,25,87,15507.865,18,8.5415,15.7480315,0.6918615
162,25,87,15507.865,18,7.8415,15.7480315,0.6351615
163,25,88,17972.395,18,7.1415,16.53543307,0.5784615
164,25,88,17972.395,19,7.8969,16.53543307,0.6396489
165,25,89,17972.395,19,8.8141,17.32283465,0.7139421
166,25,91,20949.46,20,9.7312,18.8976378,0.7882272
167,25,91,20949.46,20,10.6662,18.8976378,0.8639622
168,25,93,20949.46,21,11.6645,20.47244094,0.9448245
169,25,92,20633.215,21,12.6629,19.68503937,1.0256949
170,25,93,20633.215,21,12.2566,20.47244094,0.9927846
171,25,93,20633.215,21,10.4457,20.47244094,0.8461017
172,25,93,21647.38,21,8.6347,20.47244094,0.6994107
173,25,93,21647.38,21,8.7452,20.47244094,0.7083612
174,25,92,22748.785,21,10.0334,19.68503937,0.8127054
175,25,91,22748.785,21,11.1851,18.8976378,0.9059931
176,25,90,22748.785,22,10.1983,18.11023622,0.8260623
177,25,89,22999.6,21,9.2116,17.32283465,0.7461396
178,25,88,22999.6,21,8.7877,16.53543307,0.7118037
179,25,88,22301.68,21,9.0802,16.53543307,0.7354962
180,25,88,22301.68,21,9.3727,16.53543307,0.7591887
181,25,89,22301.68,21,9.6343,17.32283465,0.7803783
182,25,89,23403.085,21,9.8908,17.32283465,0.8011548
183,25,89,23403.085,21,10.4354,17.32283465,0.8452674
184,25,89,23272.225,22,11.3779,17.32283465,0.9216099
185,25,89,23272.225,23,11.8947,17.32283465,0.9634707
186,25,90,23272.225,24,11.5854,18.11023622,0.9384174
187,25,91,23272.225,24,11.4016,18.8976378,0.9235296
188,25,92,23272.225,24,11.6633,19.68503937,0.9447273
189,25,92,22149.01,23,11.9249,19.68503937,0.9659169
190,25,92,22149.01,22,12.1866,19.68503937,0.9871146
191,25,92,22149.01,21,12.4483,19.68503937,1.0083123
192,25,93,22149.01,20,12.7099,20.47244094,1.0295019
193,25,93,21996.34,20,12.9716,20.47244094,1.0506996
194,25,93,21996.34,20,13.0477,20.47244094,1.0568637
195,25,94,21996.34,19,12.9527,21.25984252,1.0491687
196,25,93,21810.955,19,12.8577,20.47244094,1.0414737
197,25,93,21810.955,19,11.4856,20.47244094,0.9303336
198,25,92,22530.685,19,9.7942,19.68503937,0.7933302
199,25,92,22530.685,20,9.3737,19.68503937,0.7592697
200,25,92,22530.685,20,11.9185,19.68503937,0.9653985
201,25,92,21898.195,20,14.4632,19.68503937,1.1715192
202,25,92,21898.195,19,12.4883,19.68503937,1.0115523
203,25,90,21178.465,19,8.3864,18.11023622,0.6792984
204,25,89,21178.465,20,7.9567,17.32283465,0.6444927
205,25,88,19695.385,20,9.7777,16.53543307,0.7919937
206,25,88,19695.385,20,11.5987,16.53543307,0.9394947
207,25,88,21581.95,20,8.8486,16.53543307,0.7167366
208,25,87,21581.95,22,5.7011,15.7480315,0.4617891
209,25,87,21581.95,23,8.0575,15.7480315,0.6526575
210,25,87,23544.85,24,10.5262,15.7480315,0.8526222
211,25,87,23544.85,24,12.3521,15.7480315,1.0005201
212,25,87,23544.85,24,12.5253,15.7480315,1.0145493
213,25,87,23544.85,24,12.6985,15.7480315,1.0285785
214,25,88,24449.965,24,12.8717,16.53543307,1.0426077
215,25,87,24449.965,23,12.5423,15.7480315,1.0159263
216,25,87,24449.965,23,11.8489,15.7480315,0.9597609
217,25,87,24449.965,22,11.1556,15.7480315,0.9036036
218,25,87,23653.9,22,10.4623,15.7480315,0.8474463
219,25,88,23653.9,22,9.6025,16.53543307,0.7778025
220,25,88,23653.9,21,8.7282,16.53543307,0.7069842
221,25,88,23250.415,21,7.854,16.53543307,0.636174
222,25,88,23250.415,21,6.8585,16.53543307,0.5555385
223,25,88,24013.765,21,5.7089,16.53543307,0.4624209
224,25,87,24013.765,21,5.7578,15.7480315,0.4663818
225,25,87,24013.765,21,7.3322,15.7480315,0.5939082
226,25,87,24864.355,21,8.9066,15.7480315,0.7214346
227,25,87,24864.355,21,8.4383,15.7480315,0.6835023
228,25,87,24864.355,21,7.5215,15.7480315,0.6092415
229,25,87,22770.595,20,6.6048,15.7480315,0.5349888
230,25,87,22770.595,20,8.0826,15.7480315,0.6546906
231,25,87,20382.4,20,9.7132,15.7480315,0.7867692
232,25,87,20382.4,20,9.6181,15.7480315,0.7790661
233,25,86,19324.615,21,9.0916,14.96062992,0.7364196
234,25,86,19324.615,22,8.5652,14.96062992,0.6937812
235,25,87,19324.615,23,8.8495,15.7480315,0.7168095
236,25,87,19117.42,23,9.1676,15.7480315,0.7425756
237,25,87,19117.42,23,8.9434,15.7480315,0.7244154
238,25,87,20655.025,23,8.4868,15.7480315,0.6874308
239,25,88,20655.025,24,8.0302,16.53543307,0.6504462
240,25,88,20655.025,24,8.978,16.53543307,0.727218
241,25.41666667,88,18692.125,24,10.0819,16.53543307,0.8166339
242,25.83333333,87,18692.125,24,10.8736,15.7480315,0.8807616
243,26.25,88,18692.125,23,10.8627,16.53543307,0.8798787
244,26.66666667,88,18692.125,23,10.8517,16.53543307,0.8789877
245,27.08333333,88,18092.35,23,10.8268,16.53543307,0.8769708
246,27.5,88,18092.35,22,10.7934,16.53543307,0.8742654
247,27.91666667,89,19586.335,22,10.7599,17.32283465,0.8715519
248,28.33333333,90,19586.335,22,10.988,18.11023622,0.890028
249,28.75,91,19586.335,22,11.4994,18.8976378,0.9314514
250,29.16666667,91,19586.335,23,12.0109,18.8976378,0.9728829
251,29.58333333,92,20404.21,22,11.3342,19.68503937,0.9180702
252,30,93,20404.21,21,8.5452,20.47244094,0.6921612
253,30.41666667,93,27874.135,21,5.7563,20.47244094,0.4662603
254,30.83333333,92,27874.135,21,9.5659,19.68503937,0.7748379
255,31.25,93,27874.135,21,13.7967,20.47244094,1.1175327
256,31.66666667,93,26336.53,21,18.0274,20.47244094,1.4602194
257,32.08333333,94,26336.53,21,21.2397,21.25984252,1.7204157
258,32.5,95,26336.53,21,12.7395,22.04724409,1.0318995
259,32.91666667,95,25638.61,20,4.2394,22.04724409,0.3433914
260,33.33333333,96,25638.61,20,4.409,22.83464567,0.357129
261,33.75,95,26543.725,20,5.3326,22.04724409,0.4319406
262,34.16666667,93,26543.725,20,6.2561,20.47244094,0.5067441
263,34.58333333,90,26543.725,20,6.2586,18.11023622,0.5069466
264,35,90,26074.81,21,5.9703,18.11023622,0.4835943
265,35.41666667,90,26074.81,21,5.7174,18.11023622,0.4631094
266,35.83333333,89,26140.24,21,7.2046,17.32283465,0.5835726
267,36.25,88,26140.24,21,8.6918,16.53543307,0.7040358
268,36.66666667,87,26140.24,22,8.5562,15.7480315,0.6930522
269,37.08333333,86,26336.53,22,8.015,14.96062992,0.649215
270,37.5,85,26336.53,22,8.2867,14.17322835,0.6712227
271,37.91666667,84,19379.14,23,10.0036,13.38582677,0.8102916
272,38.33333333,84,19379.14,23,11.7205,13.38582677,0.9493605
273,38.75,85,19379.14,23,11.8484,14.17322835,0.9597204
274,39.16666667,86,20186.11,23,11.3583,14.96062992,0.9200223
275,39.58333333,89,20186.11,23,10.8975,17.32283465,0.8826975
276,40,91,20382.4,23,11.8768,18.8976378,0.9620208
277,40.41666667,92,20382.4,24,12.8561,19.68503937,1.0413441
278,40.83333333,93,20382.4,24,12.0919,20.47244094,0.9794439
279,41.25,94,18550.36,24,11.1761,21.25984252,0.9052641
280,41.66666667,95,18550.36,24,9.9939,22.04724409,0.8095059
281,42.08333333,96,18550.36,24,8.1902,22.83464567,0.6634062
282,42.5,96,20109.775,24,6.3865,22.83464567,0.5173065
283,42.91666667,97,20109.775,24,6.1114,23.62204724,0.4950234
284,43.33333333,97,19444.57,24,5.9692,23.62204724,0.4835052
285,43.75,97,19444.57,24,7.5281,23.62204724,0.6097761
286,44.16666667,97,19749.91,24,12.7019,23.62204724,1.0288539
287,44.58333333,97,19749.91,25,16.2062,23.62204724,1.3127022
288,45,98,19749.91,25,13.791,24.40944882,1.117071
289,45.41666667,98,19749.91,25,11.6414,24.40944882,0.9429534
290,45.83333333,98,20327.875,25,10.5543,24.40944882,0.8548983
291,46.25,99,20327.875,23,10.2348,25.19685039,0.8290188
292,46.66666667,99,20327.875,22,11.7064,25.19685039,0.9482184
293,47.08333333,99,19379.14,22,13.1779,25.19685039,1.0674099
294,47.5,99,19379.14,22,14.418,25.19685039,1.167858
295,47.91666667,99,19379.14,22,13.5737,25.19685039,1.0994697
296,48.33333333,99,20186.11,22,12.7295,25.19685039,1.0310895
297,48.75,98,20186.11,22,11.8618,24.40944882,0.9608058
298,49.16666667,98,21538.33,22,10.9796,24.40944882,0.8893476
299,49.58333333,97,21538.33,22,10.0974,23.62204724,0.8178894
300,50,97,21538.33,22,10.4945,23.62204724,0.8500545
301,50.41666667,98,20404.21,22,11.1352,24.40944882,0.9019512
302,50.83333333,98,20404.21,22,11.5141,24.40944882,0.9326421
303,51.25,98,21723.715,22,11.7325,24.40944882,0.9503325
304,51.66666667,97,21723.715,22,11.7955,23.62204724,0.9554355
305,52.08333333,96,21723.715,22,11.6438,22.83464567,0.9431478
306,52.5,96,19826.245,21,11.4921,22.83464567,0.9308601
307,52.91666667,95,19826.245,21,11.1656,22.04724409,0.9044136
308,53.33333333,94,19826.245,21,10.6165,21.25984252,0.8599365
309,53.75,93,17503.48,21,10.0674,20.47244094,0.8154594
310,54.16666667,93,18092.35,22,10.9799,20.47244094,0.8893719
311,54.58333333,92,18092.35,24,12.0918,19.68503937,0.9794358
312,55,91,18092.35,25,11.2633,18.8976378,0.9123273
313,55.41666667,91,17241.76,25,9.753,18.8976378,0.789993
314,55.83333333,91,17241.76,25,9.3159,18.8976378,0.7545879
315,56.25,91,17819.725,25,10.4887,18.8976378,0.8495847
316,56.66666667,91,17819.725,25,11.2359,18.8976378,0.9101079
317,57.08333333,92,17819.725,25,10.6353,19.68503937,0.8614593
318,57.5,93,17459.86,25,10.0347,20.47244094,0.8128107
319,57.91666667,93,17459.86,25,10.052,20.47244094,0.814212
320,58.33333333,94,15933.16,24,10.3876,21.25984252,0.8413956
321,58.75,94,17863.345,25,10.4612,21.25984252,0.8473572
322,59.16666667,94,17863.345,26,7.5213,21.25984252,0.6092253
323,59.58333333,94,18812.08,27,6.879,21.25984252,0.557199
324,60,95,18812.08,28,14.3825,22.04724409,1.1649825
325,60.41666667,95,18812.08,28,15.5221,22.04724409,1.2572901
326,60.83333333,96,19499.095,28,14.4256,22.83464567,1.1684736
327,61.25,97,19499.095,27,13.3748,23.62204724,1.0833588
328,61.66666667,98,20567.785,27,12.734,24.40944882,1.031454
329,62.08333333,99,20567.785,26,12.0932,25.19685039,0.9795492
330,62.5,100,20567.785,26,12.3256,25.98425197,0.9983736
331,62.91666667,101,21178.465,26,12.8043,26.77165354,1.0371483
332,63.33333333,102,21178.465,26,13.1351,27.55905512,1.0639431
333,63.75,102,24144.625,26,13.0856,27.55905512,1.0599336
334,64.16666667,102,24144.625,27,13.0653,27.55905512,1.0582893
335,64.58333333,103,25082.455,27,13.3808,28.34645669,1.0838448
336,65,103,25082.455,27,13.6964,28.34645669,1.1094084
337,65.41666667,103,25082.455,28,13.273,28.34645669,1.075113
338,65.83333333,103,23217.7,27,12.3145,28.34645669,0.9974745
339,66.25,102,23217.7,26,11.4968,27.55905512,0.9312408
340,66.66666667,103,23217.7,25,11.1784,28.34645669,0.9054504
341,67.08333333,103,21887.29,24,10.8601,28.34645669,0.8796681
342,67.5,104,21887.29,24,10.9558,29.13385827,0.8874198
343,67.91666667,104,23043.22,24,11.1305,29.13385827,0.9015705
344,68.33333333,104,23043.22,24,11.3841,29.13385827,0.9221121
345,68.75,105,23043.22,24,12.2169,29.92125984,0.9895689
346,69.16666667,105,22726.975,25,13.0497,29.92125984,1.0570257
347,69.58333333,104,22726.975,25,13.4427,29.13385827,1.0888587
348,70,104,23250.415,25,13.6091,29.13385827,1.1023371
349,70.41666667,103,23250.415,25,13.4988,28.34645669,1.0934028
350,70.83333333,103,23250.415,25,12.4071,28.34645669,1.0049751
351,71.25,102,21865.48,25,11.3154,27.55905512,0.9165474
352,71.66666667,101,21865.48,24,11.8236,26.77165354,0.9577116
353,72.08333333,100,22225.345,24,13.2318,25.98425197,1.0717758
354,72.5,100,22225.345,24,14.5544,25.98425197,1.1789064
355,72.91666667,100,22225.345,24,13.8225,25.98425197,1.1196225
356,73.33333333,99,23108.65,24,13.0905,25.19685039,1.0603305
357,73.75,99,23108.65,24,12.6203,25.19685039,1.0222443
358,74.16666667,100,23108.65,24,12.4572,25.98425197,1.0090332
359,74.58333333,100,23741.14,24,12.2941,25.98425197,0.9958221
360,75,100,23741.14,24,12.7218,25.98425197,1.0304658
361,75.41666667,101,23544.85,24,13.3572,26.77165354,1.0819332
362,75.83333333,101,23544.85,23,13.9507,26.77165354,1.1300067
363,76.25,101,23544.85,23,14.4699,26.77165354,1.1720619
364,76.66666667,101,22661.545,23,14.9891,26.77165354,1.2141171
365,77.08333333,102,22661.545,23,14.9036,27.55905512,1.2071916
366,77.5,102,22661.545,23,14.303,27.55905512,1.158543
367,77.91666667,102,23566.66,23,13.769,27.55905512,1.115289
368,78.33333333,103,23566.66,23,13.8336,28.34645669,1.1205216
369,78.75,104,23566.66,22,13.8981,29.13385827,1.1257461
370,79.16666667,105,24101.005,22,13.9627,29.92125984,1.1309787
371,79.58333333,105,24101.005,21,14.1369,29.92125984,1.1450889
372,80,105,24101.005,21,14.43,29.92125984,1.16883
373,80.41666667,106,24101.005,21,14.723,30.70866142,1.192563
374,80.83333333,106,24144.625,21,15.0161,30.70866142,1.2163041
375,81.25,105,24144.625,20,14.0468,29.92125984,1.1377908
376,81.66666667,105,23850.19,20,12.9054,29.92125984,1.0453374
377,82.08333333,104,23850.19,20,11.7639,29.13385827,0.9528759
378,82.5,104,23850.19,20,12.4738,29.13385827,1.0103778
379,82.91666667,103,23850.19,21,13.3447,28.34645669,1.0809207
380,83.33333333,103,23632.09,20,14.2156,28.34645669,1.1514636
381,83.75,103,23632.09,20,14.318,28.34645669,1.159758
382,84.16666667,103,23632.09,20,13.8639,28.34645669,1.1229759
383,84.58333333,103,23632.09,19,13.4098,28.34645669,1.0861938
384,85,103,23130.46,19,12.953,28.34645669,1.049193
385,85.41666667,103,23130.46,19,12.4721,28.34645669,1.0102401
386,85.83333333,103,23741.14,19,11.9912,28.34645669,0.9712872
387,86.25,104,23741.14,19,11.7555,29.13385827,0.9521955
388,86.66666667,104,23741.14,18,12.8071,29.13385827,1.0373751
389,87.08333333,104,21734.62,18,13.8588,29.13385827,1.1225628
390,87.5,104,21734.62,18,14.5877,29.13385827,1.1816037
391,87.91666667,105,21734.62,19,14.743,29.92125984,1.194183
392,88.33333333,105,22083.58,19,14.8983,29.92125984,1.2067623
393,88.75,106,22083.58,19,14.701,30.70866142,1.190781
394,89.16666667,106,21527.425,20,14.3923,30.70866142,1.1657763
395,89.58333333,107,21527.425,20,14.0837,31.49606299,1.1407797
396,90,108,21527.425,20,14.5622,32.28346457,1.1795382
397,90.41666667,110,21832.765,20,15.1092,33.85826772,1.2238452
398,90.83333333,110,21832.765,20,15.6561,33.85826772,1.2681441
399,91.25,111,21832.765,20,14.9069,34.64566929,1.2074589
400,91.66666667,110,22694.26,20,14.0449,33.85826772,1.1376369
401,92.08333333,110,22694.26,21,13.9182,33.85826772,1.1273742
402,92.5,110,23326.75,21,14.324,33.85826772,1.160244
403,92.91666667,109,23326.75,22,14.7298,33.07086614,1.1931138
404,93.33333333,108,23326.75,22,15.6377,32.28346457,1.2666537
405,93.75,108,23413.99,22,16.6015,32.28346457,1.3447215
406,94.16666667,107,23413.99,22,17.2813,31.49606299,1.3997853
407,94.58333333,106,23413.99,22,17.2307,30.70866142,1.3956867
