time,VO2,VO2_rel
8.02,0.725482583,10.99216034
10.96,0.749020499,11.34879544
13.96,0.768927014,11.6504093
16.82,0.706009029,10.69710649
19.66,0.763244213,11.56430626
22.54,0.700839909,10.61878651
25.52,0.696807145,10.55768402
29.46,0.826041987,12.51578768
33.26,0.892590562,13.52409943
35.7,0.83357143,12.62987015
38.06,0.83465709,12.64631955
41.02,0.987785135,14.96644144
44.12,1.275325322,19.32311094
46.46,1.112975328,16.86326254
48.72,0.885203575,13.41217537
51.8,1.274633796,19.31263327
54.82,1.156283906,17.51945312
57.18,1.162623781,17.61551184
60,1.440889783,21.83166338
62.84,1.308202495,19.82124992
67.04,1.188463187,18.00701799
70.16,1.133902922,17.1803473
73.36,1.313969931,19.90863531
76.52,1.268340649,19.21728255
79.96,1.37117596,20.77539334
83.82,1.12266403,17.01006107
87.4,1.233485359,18.68917211
91,1.329141246,20.13850373
93.72,1.502882639,22.77094908
95.84,1.474541597,22.34153935
98.06,1.649398122,24.99088064
101.06,1.316002773,19.93943596
104.22,1.237976373,18.75721777
107.22,1.402382282,21.2482164
109.98,1.503734524,22.78385643
112.7,1.58106081,23.95546683
115.54,1.403012368,21.25776316
119.68,1.331246562,20.17040245
122.12,1.816449194,27.52195749
124.42,2.052170427,31.09349132
126.82,1.771280628,26.83758527
129.28,1.69163258,25.63079667
131.88,1.678956575,25.43873598
134.6,1.623643512,24.60065927
137.1,1.830582837,27.73610359
139.68,1.961169073,29.71468293
142.7,1.727748146,26.17800222
145.42,1.82226883,27.61013378
148.64,1.775467928,26.90102921
151.38,1.949658838,29.54028543
153.8,2.031360129,30.77818378
156.74,1.663027756,25.19739025
159.38,1.563589125,23.69074433
162.08,1.552579517,23.52393207
165.06,1.671490696,25.3256166
168.24,1.595308866,24.17134646
171.26,1.643983796,24.90884539
174.36,1.643532834,24.90201264
177.52,1.521133341,23.04747486
180.34,1.507076428,22.83449133
183.24,1.536739633,23.28393383
186.44,1.295539696,19.62938933
189.48,1.340482254,20.31033719
192.36,1.406544322,21.31127761
195.38,1.250688943,18.94983247
198.14,1.306735433,19.79902171
200.9,1.156782112,17.5270017
203.62,1.146091107,17.36501678
206.7,1.026220536,15.548796
209.98,1.09729996,16.62575697
212.86,1.191411864,18.05169491
214.96,1.338751018,20.28410633
217.06,1.238268239,18.76163999
219.58,1.312894931,19.89234744
222.26,1.23354398,18.6900603
225.02,1.276429878,19.33984664
228.26,1.336334289,20.24748922
231.24,1.46809352,22.24384122
234.04,1.457695636,22.08629751
236.5,1.614809383,24.46680884
239.04,1.646960289,24.95394377
241.36,1.730023785,26.21248159
243.52,1.492037383,22.60662702
245.96,1.482342606,22.45973645
248.4,1.469221138,22.26092633
250.84,1.550831039,23.49743998
253.38,1.44905782,21.95542151
256.04,1.522952787,23.07504223
258.84,1.51441226,22.9456403
263.14,1.198540705,18.15970765
266.58,1.387015361,21.01538425
269.84,1.401597565,21.23632675
273.4,1.209231251,18.32168562
276.82,1.179543331,17.87186865
280.12,1.212135985,18.36569674
283.18,1.125748922,17.05680185
286.18,1.093485191,16.56795744
289.12,1.200785053,18.19371293
291.84,1.077736897,16.32934693
294.92,1.02541826,15.53664031
297.78,0.983964039,14.90854605
300.56,1.043613448,15.81232498
303.4,0.940561213,14.25092746
306.24,0.923826358,13.99736905
308.62,0.90102771,13.651935
311,0.873070191,13.22833623
313.78,0.924101275,14.00153447
316.86,0.823756325,12.48115644
319.36,0.961825298,14.57311058
322.64,0.766449356,11.61286903
325.96,0.809334619,12.26264574
330.4,0.633694581,9.601433043
333.46,1.175488444,17.81043097
335.78,1.083035692,16.4096317
338.04,0.975039263,14.77332217
340.94,1.122921182,17.0139573
343.68,1.095358095,16.59633478
346.68,1.06815747,16.18420409
349.68,1.192522885,18.06852857
352.36,1.240213309,18.79111074
354.96,1.349036996,20.43995448
357.52,1.382754375,20.95082387
359.96,1.600736919,24.25358968
362.42,1.508504912,22.85613504
364.82,1.606572448,24.3420068
367,1.619329166,24.53529039
369.38,1.798901556,27.25608419
371.58,1.767156936,26.77510509
373.8,1.774342121,26.88397153
376.28,1.798084916,27.24371085
378.6,1.725225972,26.13978746
380.56,1.803043541,27.31884152
382.58,1.979863716,29.99793509
384.64,2.174572283,32.9480649
386.88,1.865871721,28.27078365
388.94,1.929060803,29.22819398
390.96,2.119143762,32.10823882
393.16,1.764952055,26.74169781
395.34,1.78272883,27.01104287
397.78,2.187112278,33.13806482
400.42,1.90032896,28.79286302
402.86,2.109663674,31.96460111
405.06,1.961523528,29.72005345
407.46,2.115249583,32.0492361
410.16,1.951554318,29.56900482
412.28,2.309418335,34.9911869
414.26,2.240062678,33.94034361
416.28,2.078332992,31.48989381
418.5,2.073500245,31.41667038
420.32,2.09332651,31.71706833
422.36,2.095323996,31.74733327
424.3,2.36086456,35.77067515
426.22,2.096193913,31.76051383
428.16,2.323572249,35.20564013
430.88,1.980326319,30.00494423
432.72,2.298366642,34.82373701
434.74,2.420600863,36.67577064
436.96,2.127139426,32.22938525
439,2.137730849,32.38986135
440.98,2.433298415,36.86815781
442.96,2.249662457,34.0857948
444.96,2.338068669,35.42528286
446.92,2.339921435,35.45335507
449.1,2.280666043,34.55554611
451.12,2.439170388,36.9571271
453.08,2.185659353,33.1160508
455,2.016307936,30.55012025
456.98,2.058539811,31.18999714
459.3,1.862440426,28.21879433
461.5,2.095403065,31.74853128
463.68,2.163492797,32.78019389
466.02,2.118057372,32.09177836
468.54,1.891710443,28.66227944
470.8,1.872349366,28.36892979
472.8,2.112535659,32.00811605
475.12,1.770921606,26.83214554
478.12,1.457213275,22.07898902
480.72,1.701526324,25.78070188
482.84,1.758596721,26.64540486
484.38,2.082477336,31.55268691
486.12,1.891363304,28.65701976
487.84,1.952887794,29.589209
489.88,1.711658491,25.93421956
491.7,1.869705718,28.32887451
493.64,1.544217503,23.39723489
495.46,1.920641863,29.10063429
497.4,1.975297866,29.92875555
499.3,1.937205865,29.35160401
501.5,1.712669125,25.94953219
503.22,1.833719674,27.78363142
505.06,1.845364432,27.96006716
507.04,2.058758082,31.19330427
508.7,1.890291898,28.64078633
510.32,1.989055382,30.13720276
512,1.936252052,29.3371523
513.78,1.860061716,28.18275327
515.76,1.607186615,24.35131235
518.06,1.680170049,25.45712195
520.16,1.737754774,26.32961778
522.26,1.717136055,26.01721296
524.46,1.829935267,27.72629193
526.8,1.859126389,28.16858166
529.26,1.752291627,26.54987313
531.54,1.769275403,26.80720308
533.78,1.743627597,26.41859995
536.26,1.533653708,23.23717739
538.66,1.552499646,23.52272191
540.88,1.481238156,22.44300236
542.88,1.619809397,24.54256661
544.52,1.696916707,25.71085919
546.28,1.717173922,26.0177867
548.08,1.75303371,26.56111682
549.88,1.596439079,24.18847089
551.76,1.609722792,24.38973928
553.66,1.587619168,24.05483588
555.38,1.632030673,24.72773748
557.16,1.850242832,28.0339823
559,1.617951865,24.5144222
560.78,1.67022053,25.30637166
562.56,1.711735832,25.93539139
564.36,1.829325589,27.71705438
566.14,1.590510276,24.09864054
567.84,1.935833994,29.33081809
569.46,1.822086812,27.60737594
570.96,1.755840988,26.60365134
572.58,2.352091422,35.63774882
574.18,1.859644768,28.17643588
575.78,2.123172908,32.16928649
577.44,2.01888081,30.58910318
579.14,2.001952563,30.33261459
580.72,1.973872228,29.90715497
582.28,2.004258276,30.36754964
583.88,2.043960306,30.96909555
585.52,2.01890328,30.58944363
587.24,2.128506593,32.25009989
588.84,2.029120434,30.744249
590.44,1.894878265,28.71027674
592.08,2.353441096,35.65819842
593.7,2.053195967,31.10902981
595.52,2.06513554,31.28993242
597.24,2.194581849,33.25124014
599.02,2.113348641,32.02043395
600.52,2.291383188,34.71792709
602.1,2.20299702,33.37874272
603.9,2.014939868,30.52939194
606.8,1.464670782,22.19198155
608.46,1.534023905,23.24278644
610.24,2.092522159,31.7048812
612.22,2.013869408,30.51317285
614.26,1.974781012,29.92092443
616.34,1.950230848,29.54895224
618.22,1.874843971,28.40672683
620.26,1.870035244,28.33386733
622.4,1.893741498,28.69305299
624.54,1.734017138,26.27298694
626.48,1.753274304,26.56476219
628.46,1.740032531,26.36412925
630.5,1.389355932,21.05084746
632.64,1.485777668,22.51178284
635.28,1.210626319,18.34282301
637.68,1.784849514,27.04317446
640.34,1.361669342,20.63135366
642.84,1.36494919,20.68104833
644.92,1.395430847,21.14289163
646.88,1.558293459,23.61050695
648.98,1.384823324,20.98217158
651.24,1.345038205,20.37936674
653.4,1.281800641,19.42122184
655.48,1.258318067,19.06542525
657.48,1.260101186,19.09244221
659.44,1.160934414,17.58991536
661.42,1.042912799,15.80170908
663.28,1.450797145,21.98177492
665.08,1.240276154,18.79206294
666.92,1.393392881,21.11201335
668.8,1.345299931,20.38333228
670.78,1.306569672,19.79651018
672.7,1.380185761,20.91190546
674.68,1.319401647,19.99093405
676.58,1.395181638,21.13911573
678.36,1.366721122,20.70789578
680.04,1.567750121,23.75378972
681.74,1.790477078,27.12844058
683.86,1.607485391,24.35583925
685.78,1.535875588,23.27084224
689.02,1.107212685,16.77594977
691.12,1.929637041,29.23692486
693.08,2.041087875,30.92557386
695.22,1.803880398,27.33152118
697.62,1.578246174,23.91282082
699.94,1.44781702,21.93662152
702.12,1.582450205,23.97651826
704.54,1.612593475,24.43323447
706.96,1.549955313,23.4841714
709.24,1.552022363,23.51549035
711.82,1.646402185,24.94548765
714.22,1.542278968,23.36786316
716.5,1.670748427,25.31437011
718.9,1.571356464,23.80843128
721.22,1.485118574,22.50179658
723.36,1.516210825,22.97289128
725.54,1.515123171,22.95641168
727.52,1.493876411,22.63449108
729.6,1.28681255,19.49715984
731.66,1.305093535,19.77414447
733.74,1.150149466,17.42650706
735.86,1.265649737,19.17651117
738.04,1.170311578,17.73199361
740.16,1.158064971,17.54643896
742.32,1.113269285,16.86771644
744.5,1.097671988,16.63139376
746.62,1.106289493,16.76196202
748.68,1.173251707,17.77654101
750.76,1.126292819,17.06504271
752.88,1.095947525,16.60526552
754.98,1.153617839,17.47905817
757.1,1.099079175,16.65271477
759.22,0.990918743,15.01392035
761.4,0.943464671,14.29491926
763.6,0.929688674,14.08619204
765.82,0.946337423,14.3384458
768.52,0.030286143,0.458880949
771.96,1.030562964,15.61459037
774.3,1.062761759,16.1024509
776.46,1.092821855,16.5579069
778.82,0.974817003,14.7699546
781.3,0.890403783,13.49096641
783.5,1.048409223,15.88498822
785.56,0.966559109,14.64483499
787.54,1.054147661,15.97193425
789.56,1.052855941,15.95236275
791.6,1.086727834,16.46557325
793.62,1.114774221,16.89051849
795.64,0.94543072,14.32470788
797.58,1.25345948,18.9918103
799.52,1.289126535,19.53222023
801.48,1.390564207,21.06915466
803.6,1.297738998,19.66271209
805.7,1.292609438,19.58499149
807.68,1.448008115,21.9395169
809.66,1.428782492,21.64821958
811.5,1.612291426,24.42865797
813.32,1.648426432,24.97615806
815,1.494234689,22.63991953
816.76,1.73345028,26.26439817
818.58,1.712268298,25.94345906
820.42,1.793795279,27.17871635
822.12,1.616688886,24.49528615
824.2,1.813018625,27.46997917
825.76,1.680065681,25.45554062
