time,VO2,VO2_rel
6.4,0.749272388,8.612326302
9.34,0.651850786,7.492537768
12.16,0.561546388,6.454556184
15,0.600102993,6.897735557
18.08,0.718908673,8.263318084
21.1,0.691495157,7.948220191
24.02,0.746836401,8.584326451
27.06,0.652859305,7.504129942
29.96,0.773084585,8.886029709
32.82,0.829724657,9.537065026
35.32,0.990947579,11.39020205
37.84,0.981913674,11.28636407
40.18,1.025877506,11.79169547
42.52,0.982479104,11.29286326
47.08,1.3882343,15.95671609
49.38,1.270539696,14.60390455
51.68,1.018494358,11.7068317
54.16,1.083591298,12.45507239
56.56,0.924702209,10.62876102
58.82,1.247724047,14.34165572
61.24,1.40980665,16.20467413
63.54,1.502684362,17.27223405
65.7,1.608860151,18.49264542
67.96,1.690297899,19.42871149
70.34,1.636283537,18.80785675
72.78,1.410097152,16.20801324
75.32,1.662632401,19.11071726
77.84,1.8242501,20.96839195
81.32,1.109932836,12.7578487
83.44,2.197620133,25.26000153
87.06,2.130677784,24.49054924
89.58,1.769124528,20.33476469
92.04,1.300333346,14.9463603
94.28,1.829246043,21.02581658
97.68,0.996762667,11.45704215
99.98,2.567524475,29.51177557
103.4,2.289196809,26.312607
105.78,1.921086517,22.08145421
108.08,2.069228673,23.78423762
110.72,2.289939698,26.32114595
113.4,1.493123943,17.16234417
115.6,2.070264867,23.7961479
118.12,2.258320391,25.95770565
120.4,1.690709347,19.43344077
123.02,2.210842772,25.41198589
126.28,1.932496698,22.21260572
128.36,1.669853161,19.19371449
130.28,1.761775032,20.25028772
132.26,2.059003962,23.66671221
134.82,2.16416937,24.87551
137.12,1.982645803,22.78903222
139.46,2.249523227,25.85658882
142.64,2.338712941,26.88175794
145.32,2.085853587,23.97532859
147.32,2.243178582,25.78366187
149.4,2.068543445,23.77636144
152.54,2.217207755,25.48514661
156.14,1.40867462,16.1916623
158.7,1.802387588,20.71709871
161.12,2.007345231,23.07293369
164.2,2.547893053,29.28612705
166.58,2.475819329,28.45769344
169.08,2.051097689,23.5758355
171.4,2.065489601,23.74125978
173.74,1.99214543,22.89822334
177.74,1.981265639,22.77316827
180.06,1.754759985,20.169655
183.14,1.217989251,13.99987645
185.14,2.126456857,24.44203283
187.2,2.169676908,24.93881504
189.34,2.351562381,27.02945266
191.42,2.304976787,26.49398606
193.58,1.808061055,20.78231098
195.8,1.583582664,18.20209959
198.46,1.495844695,17.19361718
200.78,1.757122051,20.19680518
202.96,1.595250865,18.33621683
205.32,1.47700227,16.97703758
207.66,1.668605372,19.17937209
209.96,1.359579735,15.62735327
212.6,1.082439613,12.44183463
215.8,1.067794877,12.27350433
218.04,1.793927829,20.6198601
220.28,1.938921929,22.28645895
222.54,1.874635929,21.54753941
224.94,1.609064715,18.49499672
227.14,1.741842467,20.02117778
230.36,1.801908814,20.71159556
232.78,1.273766732,14.64099692
234.96,1.660241316,19.08323352
237.12,1.840231038,21.1520809
239.24,1.75475916,20.16964552
241.46,1.60972212,18.50255311
243.74,1.660999758,19.09195124
246.1,1.614106548,18.55294883
248.82,1.522573225,17.50084166
251.26,1.670094072,19.19648358
253.64,1.825858139,20.98687516
257.26,1.218385462,14.00443059
259.48,1.874991491,21.55162633
261.74,1.884649974,21.66264338
263.92,1.773070772,20.38012382
266.56,2.079367657,23.90077767
269.16,1.493895539,17.1712131
272.9,1.815711599,20.87024827
275.96,0.915380584,10.52161591
278.14,1.509040793,17.34529647
280.44,1.755336134,20.1762774
282.84,1.477368324,16.9812451
285.1,1.689185684,19.4159274
287.44,1.592962352,18.30991209
289.76,1.474131555,16.94404087
292,1.217237055,13.99123052
294.14,1.293581045,14.86874764
296.46,1.301522643,14.96003038
298.86,1.16477812,13.38825425
301.62,0.95987035,11.03299253
304.56,0.721881504,8.297488549
306.8,1.464288311,16.83090013
309.14,1.250016372,14.36800427
311.6,1.201387512,13.80905187
314.06,1.217672817,13.99623927
316.62,1.077542812,12.38554956
319.06,1.242409182,14.28056531
321.36,1.018700472,11.70920083
323.74,1.099126478,12.63363768
326.34,1.044183747,12.00211203
329,1.021268675,11.73872041
331.6,0.890942095,10.24071374
333.92,1.134389937,13.03896479
335.96,1.006910223,11.57368073
339.06,0.765023521,8.793373807
341.26,1.616194732,18.57695094
344.38,1.600379043,18.39516142
346.86,1.109870568,12.75713296
349.16,1.258852645,14.46957063
351.3,1.242407644,14.28054763
353.54,1.325458035,15.23514983
355.78,1.498708522,17.22653474
357.88,1.601443033,18.40739118
359.92,1.884742281,21.66370438
361.74,1.702032849,19.56359597
363.66,1.784595102,20.51258738
365.72,2.052443141,23.59130048
367.64,1.840151702,21.15116899
370.38,2.192545083,25.20166762
372.66,1.583970889,18.20656194
374.96,1.896619023,21.80021866
377,1.804471896,20.74105627
379.18,2.014334955,23.15327534
383,2.254608104,25.91503567
385,1.905393662,21.90107657
386.98,2.538212444,29.17485568
389.08,1.645027989,18.90836769
391.22,2.066485375,23.75270546
393.24,2.117730553,24.3417305
395.2,2.16619585,24.89880287
397.22,2.46839525,28.37235919
399.5,2.572397976,29.56779282
401.88,2.32460213,26.71956471
403.98,2.075520155,23.85655351
406.82,0.880727756,10.12330753
408.56,3.627890752,41.6998937
411.24,2.941785756,33.81362938
413.4,2.445092662,28.10451336
415.7,2.482874632,28.53878888
417.82,2.815510097,32.36218502
420.02,1.915767522,22.02031634
422.04,2.496948048,28.70055228
424.12,2.524693905,29.01947018
426.52,2.709894212,31.14820933
428.64,2.408255217,27.68109445
430.72,2.720199809,31.26666447
434.28,2.601492066,29.90220765
436.32,1.836848819,21.11320482
438.22,2.666900011,30.65402311
440.14,2.674555265,30.74201454
442.08,2.585744926,29.72120605
444.04,2.689658325,30.91561293
446.14,2.965315181,34.08408254
448.24,2.488255258,28.60063515
450.12,2.924393389,33.61371712
452.58,2.600995952,29.8965052
454.54,2.514151993,28.89829877
456.58,2.143075116,24.63304731
458.64,2.222484673,25.54580084
460.72,2.098442591,24.12002979
462.7,2.369021461,27.23013174
464.68,2.178855054,25.04431097
466.6,2.235837547,25.69928215
469,2.480823013,28.51520705
471,2.271776848,26.11237756
473.08,2.076763573,23.87084567
475.2,2.176163991,25.01337921
477.36,2.496957359,28.70065929
479.32,2.648293745,30.44015799
481.34,1.885530521,21.67276461
483.5,2.528330461,29.06126967
485.7,2.162327478,24.85433882
487.7,1.993794497,22.91717813
489.82,2.065402557,23.74025928
492.18,2.183815162,25.1013237
494.54,2.192823102,25.20486324
496.6,1.935182771,22.24348013
499.88,2.234709482,25.68631588
501.8,1.921736467,22.0889249
504.8,1.534973948,17.64337871
506.82,2.30527717,26.49743874
508.72,2.689585359,30.91477424
510.96,2.647026793,30.42559532
513,2.31255746,26.58112024
515.1,1.909554372,21.94890083
517.14,2.120100578,24.36897216
519.22,2.118873478,24.35486757
521.36,2.017878416,23.19400478
523.48,2.005632738,23.05324987
525.56,2.297143629,26.40394976
527.68,1.8764988,21.56895173
529.98,2.027016675,23.29904225
532.3,2.21832674,25.4980085
534.36,1.90592899,21.90722977
536.42,2.033537893,23.37399877
538.68,1.664888528,19.13664975
540.78,1.870564525,21.50074167
542.86,2.264002361,26.02301565
544.84,2.168425751,24.92443392
548.14,1.752385825,20.1423658
550.28,1.744538144,20.05216258
552.24,2.017251904,23.18680349
554.26,1.769319077,20.33700088
556.36,1.871893671,21.51601921
558.52,2.110398955,24.25745926
560.58,1.905270637,21.89966249
562.68,1.745912383,20.06795842
565.4,0.600210353,6.898969575
567.08,2.732932413,31.41301624
570.02,2.567322022,29.50944853
572.04,2.123614221,24.40935886
574.08,2.135881727,24.55036468
576.16,2.247939738,25.83838779
578.18,1.806017912,20.75882657
580.52,2.581089317,29.6676933
582.52,2.043664567,23.49039732
585.94,2.117536065,24.339495
588.22,2.040213438,23.45072918
590.1,2.28182631,26.22788862
592.14,2.332402033,26.80921877
594.04,2.387691118,27.44472549
595.9,2.260204147,25.97935801
598.02,2.922428344,33.5911304
600,2.166369412,24.90079784
602.52,2.363060424,27.16161407
604.62,2.029140632,23.32345554
606.68,2.067341832,23.76254979
608.58,2.108627233,24.23709463
612.22,2.053099883,23.59884923
614.34,1.696522193,19.5002551
616.54,1.714496949,19.70686149
619.32,0.847275168,9.738795035
621.28,3.049172078,35.04795492
623.46,2.822147749,32.43847988
625.46,2.255019247,25.91976146
627.46,2.626055118,30.18454158
630.06,0.552608849,6.351825855
631.72,3.152519918,36.23586113
634,2.21234951,25.42930471
636.22,2.236693227,25.70911756
638.34,1.836943988,21.11429871
640.36,2.157631224,24.80035889
642.38,1.887325281,21.69339403
645.2,1.803305825,20.72765316
647.26,1.582072908,18.18474606
649.46,1.479072692,17.00083554
651.64,1.848705957,21.24949376
653.64,1.36880637,15.73340655
655.88,1.795419899,20.63701033
658,1.58052616,18.16696735
660.18,1.648744235,18.95108316
662.2,1.724599548,19.82298331
664.22,1.743556472,20.04087899
666.14,1.653937103,19.01077129
668.26,1.623630485,18.66241936
670.52,1.345926464,15.47041913
672.5,1.681741945,19.33036719
674.66,1.43887039,16.53874012
676.82,1.768860437,20.33172917
679.04,1.559228408,17.92216561
681.62,1.871025104,21.50603568
683.64,1.766150877,20.3005848
685.62,1.922025961,22.09225243
687.72,1.744104664,20.04718005
689.96,1.71970202,19.76668989
691.94,1.801986144,20.71248442
694.12,1.648399432,18.94711991
697.38,0.929197241,10.68042806
700.36,1.244146172,14.30053071
702.56,2.327811663,26.75645589
705.4,2.55205184,29.3339292
707.68,1.729468599,19.87894941
709.74,1.763337293,20.26824474
