time,VO2,VO2_rel
7.14,0.970239618,12.43896946
10.96,0.962431064,12.3388598
14.34,1.110301366,14.2346329
16.84,0.809487148,10.37804036
19.48,0.958048181,12.28266899
22.42,1.014391453,13.00501863
26.16,0.291146329,3.732645247
29.52,0.991136248,12.70687497
32.42,1.483800243,19.02308004
35.98,1.214738032,15.57356452
38.86,1.057428639,13.55677742
40.9,0.88504112,11.34668102
42.6,0.844909136,10.83216841
44.88,1.049059382,13.44947926
46.94,0.884981114,11.34591172
49.6,1.081772056,13.86887251
51.88,0.842735874,10.80430608
54.12,1.248550641,16.0070595
56.6,0.675377344,8.658683897
59.02,0.981687339,12.58573511
61.42,0.54419415,6.976848075
64.2,0.751043803,9.628766708
66.78,0.801114567,10.27069957
69.32,1.003335294,12.86327301
71.02,0.641703792,8.226971696
73.12,0.793164718,10.16877844
75.44,0.915082355,11.73182507
77.74,0.597279025,7.657423396
80.42,0.817599502,10.4820449
83.08,0.877599807,11.25127958
85.4,0.724659809,9.290510377
88.2,0.974697597,12.49612304
90.72,0.664921599,8.524635885
94.22,0.894793459,11.47171102
97.52,0.848970703,10.88423978
100.76,0.909206049,11.65648781
103.76,0.408840235,5.241541473
106.7,0.962229981,12.33628181
109.32,0.713420941,9.146422319
112.44,0.668975862,8.576613611
114.9,0.903734507,11.58633983
117.48,0.651123261,8.34773412
119.46,0.609383149,7.812604468
121.26,0.608854692,7.805829382
124,0.943778106,12.09971931
126.14,0.730269011,9.362423221
128.46,0.874571931,11.21246066
131.44,0.756145647,9.694174962
134.12,0.95354818,12.22497666
136.72,1.042152147,13.36092497
139.5,0.941476175,12.07020737
142.26,0.842503226,10.80132341
144.98,0.872442992,11.18516656
147.4,1.228651786,15.75194597
150.3,0.826256856,10.59303662
153.06,0.984515834,12.62199788
155.64,0.863281623,11.06771311
158.02,0.650739583,8.342815163
160.34,1.028462415,13.18541558
163.04,0.649410474,8.325775307
165.76,0.638195841,8.181997966
168.58,0.378173549,4.848378839
170.86,1.159214797,14.86172816
173.76,0.457179117,5.861270728
176.48,1.200142211,15.3864386
178.94,1.03486411,13.26748859
181.22,1.03752374,13.3015864
183.92,0.701623438,8.995172285
186.1,0.87590742,11.22958231
188.44,0.590247585,7.567276735
190.96,0.765741981,9.81720489
193.58,0.806443005,10.33901288
196.12,0.834303113,10.69619376
199.08,0.804035424,10.30814647
201.82,0.817287236,10.47804149
204.26,0.878509139,11.26293768
206.4,1.063877684,13.63945749
208.4,1.324959535,16.98666071
210.54,0.933388445,11.96651853
212.98,1.085371682,13.91502157
215.64,1.033970349,13.25603011
218.14,0.958035272,12.28250349
220.24,1.121594889,14.37942166
222.24,1.050554659,13.46864948
224.72,0.842936184,10.80687415
226.76,0.97282799,12.47215371
228.98,0.877028363,11.24395337
231.6,0.636002805,8.153882116
234,0.987714163,12.66300209
236.06,0.939336411,12.04277451
237.72,0.669435696,8.582508928
240.2,0.858322154,11.00413018
242.88,1.473274857,18.8881392
244.98,0.601748933,7.71472991
247.36,1.117589775,14.32807404
249.38,0.949529207,12.17345137
252.2,0.935329217,11.99140022
254.96,0.945897025,12.12688494
258.22,1.307800622,16.76667464
261.08,0.971869132,12.45986066
263.62,0.861091733,11.0396376
266.24,0.980570288,12.57141395
268.92,0.808870759,10.37013793
271.22,0.939188928,12.04088369
273.66,1.000116212,12.82200271
276.42,0.878900083,11.26794979
278.88,0.816852819,10.47247204
281.52,1.124975272,14.4227599
284.44,0.987795312,12.66404247
286.94,1.023146853,13.11726735
289.7,0.809209988,10.37448703
292.96,0.901807929,11.56164012
296,0.738272038,9.465026129
298.72,0.880012137,11.28220689
301.32,0.928907937,11.90907611
304.04,0.919305249,11.78596473
306.38,1.063440771,13.63385603
308.92,0.81515698,10.45073052
311.78,1.025506087,13.14751393
314.3,0.888188121,11.38702719
316.72,1.028791268,13.18963164
319.52,0.974463783,12.49312542
322.02,1.175481468,15.07027523
324.82,0.970529153,12.44268144
327.68,1.145931073,14.69142401
330.44,0.95470621,12.2398232
333.5,1.031922772,13.22977912
335.98,0.928061038,11.89821844
338.52,1.025675593,13.14968709
340.92,1.090641687,13.98258573
343.62,1.215717501,15.5861218
346,1.095269856,14.04192122
349.56,0.824918343,10.5758762
352.74,0.914645516,11.72622456
355.94,1.011242732,12.96465042
358.48,1.379013758,17.67966356
361.18,1.490065893,19.10340889
364.22,1.45968705,18.71393654
367.1,1.390793279,17.83068306
369.66,1.268577605,16.26381545
372.32,1.499702862,19.22695977
374.96,1.38921585,17.81045962
377.38,1.402319733,17.97845811
379.96,1.569011352,20.11553015
382.16,1.049174437,13.45095432
384.4,1.135743868,14.56081882
386.76,1.134355689,14.54302165
389,1.265525717,16.22468867
391.64,1.211162627,15.52772598
393.98,1.33799342,17.1537618
396.66,1.243632403,15.94400517
