time,VO2,VO2_rel
12.78,0.824599158,10.99465544
16.34,0.668790463,8.91720617
19.84,0.743372765,9.911636869
23.04,0.772983998,10.30645331
27.5,0.885820938,11.81094584
31.26,0.947140327,12.62853769
34.04,1.311166271,17.48221695
36.78,1.234942151,16.46589535
40.6,1.145602972,15.27470629
43.82,1.711594822,22.82126429
46.68,1.51065627,20.14208361
52.16,1.693610847,22.58147796
55.22,1.267118942,16.89491923
58.42,1.547373161,20.63164215
61.36,1.888094013,25.17458685
64.1,1.945636822,25.94182429
66.92,1.78754776,23.83397013
69.68,1.926691825,25.68922434
73.04,2.251980996,30.02641328
77.1,2.073138168,27.64184223
80.2,1.728492091,23.04656122
83.08,1.862078972,24.82771963
85.9,1.960394762,26.13859683
89.74,1.980993666,26.41324888
93.18,1.874218954,24.98958606
95.82,1.794049872,23.92066496
98.28,2.112772437,28.17029916
100.8,2.243292027,29.91056035
103.52,2.101657903,28.02210538
105.8,2.1568426,28.75790133
108.08,2.084830921,27.79774562
110.5,2.048781031,27.31708042
112.96,2.009435776,26.79247702
115.34,2.10305277,28.0407036
117.62,2.221642921,29.62190562
121.04,2.074914325,27.66552433
123.36,2.065972074,27.54629432
125.58,2.105826029,28.07768039
127.86,2.271047114,30.28062819
130.02,2.239389372,29.85852496
132.42,2.384099053,31.78798737
135.44,2.28362382,30.4483176
137.84,2.269412623,30.25883497
140.48,2.205645308,29.40860411
142.74,2.256289836,30.08386448
144.94,2.554227462,34.05636616
147.56,2.385702392,31.80936522
150.44,2.424532631,32.32710174
153.16,2.414831982,32.19775976
155.7,2.2924672,30.56622933
159.08,2.445986384,32.61315179
162.32,1.999098659,26.65464878
165.32,2.401198365,32.0159782
167.86,2.559372529,34.12496705
170.48,2.353633192,31.3817759
172.98,2.479077509,33.05436678
175.4,2.468158576,32.90878101
177.74,2.333876406,31.11835209
180.1,2.140806611,28.54408815
182.34,2.251078095,30.01437459
184.62,2.191068121,29.21424162
186.78,2.300286374,30.67048499
189.62,1.972372057,26.2982941
192.72,1.948748755,25.98331673
195.06,2.462115858,32.82821145
198.12,1.942833003,25.90444004
200.26,2.356078193,31.41437591
202.76,1.785708907,23.80945209
205.14,2.224158968,29.65545291
207.5,2.226765325,29.69020433
209.96,2.224233785,29.65645047
212.32,2.160051717,28.80068957
214.48,2.260267311,30.13689748
217.2,2.079932531,27.73243375
220.48,1.528497317,20.37996422
223.44,2.742150289,36.56200385
225.64,2.517577527,33.56770035
227.8,2.182383676,29.09844901
229.9,2.172379611,28.96506148
232.14,2.112299151,28.16398868
234.38,2.206405369,29.41873826
236.6,2.027031735,27.0270898
238.84,2.116505893,28.22007858
241.62,2.310759047,30.81012062
243.88,2.161462361,28.81949815
246.22,2.119352503,28.25803338
249.96,2.295339673,30.60452898
253.2,2.065310899,27.53747866
256.06,2.037435676,27.16580901
258.5,2.191076382,29.21435176
260.74,2.146275728,28.61700971
263,2.162497883,28.8333051
265.42,2.281983402,30.42644536
267.94,2.16412319,28.85497587
270.3,2.145211694,28.60282259
272.7,2.135258653,28.47011537
275.76,2.065054111,27.53405482
278.14,2.174702709,28.99603612
280.6,1.718073073,22.90764097
282.88,2.355647174,31.40862898
285,2.260303802,30.13738403
287.08,2.261314294,30.15085725
289.18,2.071887084,27.62516113
291.16,2.25971174,30.12948986
293.3,2.064767339,27.53023119
295.38,2.13959066,28.52787546
297.6,2.144734068,28.59645424
299.84,2.032265727,27.09687636
302.18,1.86812204,24.90829386
304.56,2.015308274,26.87077698
306.92,1.976001726,26.34668968
309.38,1.926712622,25.68950162
311.58,2.040858333,27.21144444
313.74,1.933256461,25.77675282
315.9,1.840444858,24.53926477
318.14,1.908436396,25.44581862
322,2.004396734,26.72528978
324.32,1.973868804,26.31825071
326.64,2.008223478,26.77631304
328.9,2.231151992,29.74869323
331.12,2.053921339,27.38561785
333.22,2.023654772,26.98206362
335.3,1.90599611,25.41328146
337.44,2.09326503,27.9102004
339.52,2.174998661,28.99998215
341.62,2.066502929,27.55337239
343.68,2.013447086,26.84596115
345.58,0.630780804,8.410410723
348.02,2.772416205,36.9655494
350.46,2.332021084,31.09361445
352.78,2.07719489,27.69593187
354.9,2.221041733,29.61388977
357.1,2.299311222,30.65748296
359.28,2.310318093,30.80424124
361.42,2.14164155,28.55522067
363.6,2.050396557,27.33862076
365.78,2.25984635,30.13128466
367.94,2.508687307,33.4491641
370.08,2.396176961,31.94902615
372.68,2.12260912,28.30145494
374.86,2.624946062,34.99928082
376.94,2.472715591,32.96954122
378.94,2.50936348,33.45817974
381.06,2.631801227,35.09068303
383.32,2.476470373,33.01960497
385.54,2.269216903,30.25622538
387.78,2.312923531,30.83898042
389.88,2.155600933,28.74134577
392.08,2.652380606,35.36507475
395.16,2.73631982,36.48426427
397.16,2.213860061,29.51813415
399.16,2.350229387,31.33639183
401.16,2.674797573,35.66396765
403.16,2.577315363,34.36420484
405.2,2.867109441,38.22812588
407.24,2.551374145,34.01832193
409.3,2.383785087,31.78380116
411.34,2.550394929,34.00526572
413.4,2.341725446,31.22300595
415.32,2.834681411,37.79575214
417.4,2.728970996,36.38627995
419.46,2.704968394,36.06624525
421.58,2.652729998,35.36973331
423.82,2.647541312,35.30055083
426.22,2.297856873,30.63809164
428.38,2.639800972,35.1973463
430.52,2.64004787,35.20063826
432.94,2.752043875,36.69391833
434.98,2.890938585,38.5458478
436.88,2.933797911,39.11730548
438.74,2.711327339,36.15103119
440.7,2.569336357,34.25781809
442.86,2.732004024,36.42672031
445.64,2.736636429,36.48848571
447.86,2.51841073,33.57880973
449.96,2.813423787,37.51231716
452.1,2.828056428,37.70741904
454.42,3.092494204,41.23325606
456.5,2.40352954,32.04706053
458.78,2.574146437,34.3219525
461.12,2.975073694,39.66764926
463.64,2.528876134,33.71834845
466.14,2.616548722,34.8873163
468.74,2.646493471,35.28657961
471.5,2.244512832,29.92683777
473.84,2.223640549,29.64854066
476.1,2.257507735,30.10010314
478.36,2.558517521,34.11356694
480.46,2.551722532,34.02296709
482.4,2.532804204,33.77072273
484.32,2.265165974,30.20221299
486.32,2.515818873,33.54425164
488.54,2.284389881,30.45853175
490.52,2.742529299,36.56705732
492.4,2.687513697,35.83351596
494.26,2.330784086,31.07712115
496.06,2.357239712,31.42986283
497.82,2.384652652,31.79536869
499.64,2.473850796,32.98467729
501.52,2.480478076,33.07304101
504.56,2.44062436,32.54165814
506.66,1.942572071,25.90096095
508.82,2.169384765,28.92513021
510.84,2.587605262,34.50140349
512.74,2.545683344,33.94244459
514.62,2.650926614,35.34568818
516.64,2.416672319,32.22229759
518.96,2.498837276,33.31783034
521.66,2.44180081,32.55734413
523.8,2.323390957,30.97854609
525.72,2.371378763,31.61838351
527.82,2.32321246,30.97616614
529.82,2.418851729,32.25135638
531.9,2.518306806,33.57742407
533.96,2.301392253,30.68523004
535.98,2.34468,31.2624
538.18,2.356911742,31.4254899
540.16,2.126133982,28.34845309
542.1,2.307083831,30.76111775
543.88,2.368353412,31.5780455
545.68,2.324471583,30.99295444
547.66,2.225365537,29.67154049
549.6,2.452459878,32.69946503
551.64,2.401659638,32.02212851
553.56,2.349217564,31.32290085
555.4,2.209598309,29.46131078
557.3,2.141156897,28.54875863
559.26,2.287192158,30.49589545
561.68,2.562994658,34.1732621
563.44,2.341799354,31.22399139
565.16,2.223326855,29.64435806
566.96,2.357554517,31.43406023
568.94,2.331472774,31.08630365
570.84,2.496052312,33.28069749
572.76,2.551861929,34.02482571
575.18,2.704212655,36.05616874
